"glass","sklo"
"Watch ","Sleduj "
"Wait for ","¬ekej na "
"Serve Customer","Poslu§ Z kazn¡kovi"
"Serve ","Slu§ "
"Go to Individual Combat Drill","Jde na Osobn¡ Bojov‚ CviŸen¡"
"Individual Combat Drill","Osobn¡ Bojov‚ CviŸen¡"
"/Resting","/OdpoŸ¡v "
"Go to Sparring Match","Jde na Tr‚ninkovì Souboj"
"Spar","Box"
"Go to Sparring Practice","Jde na Tr‚ninkov‚ CviŸen¡"
"Watch Sparring Practice","Sledovat Boxerskì Tr‚ning"
"Archery Practice","Lukostýeleckì Tr‚ning"
"You cannot perform here.","Nem…§eç zde vystupovat."
"You could not find a partner.","Nem…§eç naj¡t partnera."
"There are not enough dancers.","Nen¡ tu dostatek taneŸnic."
"There is not enough room to perform here.","Nen¡ tu dost m¡sta pro proveden¡"
"Some children","NØjak‚ dØti"
"is","je"
"begins","zaŸ¡n "
"begin","zaŸal"
" playing make believe."," pýedst¡rat hran¡m"
" playing with "," hran¡ s "
"a toy","hraŸka"
"The performers","UmØlci"
"a sermon on ","k z n¡ o "
"the story of ","pý¡bØh o "
"reciting the poem ","recitov n¡ b snØ "
"an improvised recital of ","improvizovanì recit l "
"the musical composition ","hudebn¡ skladba "
"improvised music, ","improvizovan  hudba, "
"dancing ","tanŸen¡ "
"an improvised dance, ","improvizovanì tanec, "
" in the middle of "," bØhem "
"You continue the sermon.","PokraŸujeç v k z n¡."
"The sermon continues.","K z n¡ pokraŸuje."
"You continue the story.","PokraŸujeç v pý¡bØhu."
"The story continues.","A pý¡bØh pokraŸuje."
"You begin","ZaŸ¡n ç"
"The poetry enters","Poezije vstupuje"
"the ","ten "
" line."," ý dek."
"the verse paragraph","verçovanì odstavec"
" verse paragraph"," verçovanì odstavec"
"the stanza","m¡stnost"
" stanza"," m¡stnost"
"You continue the poem.","PokraŸujeç v b sni."
"The poem continues.","A b seå pokraŸuje."
"You enter ","Vstupujeç do "
"The dance enters a new section with ","TaneŸn¡k zaŸ¡n  novou Ÿ st s "
"The music enters ","Hudba vstupuje "
"a simple passage","jednoduch  pas §"
"the introduction","£vod"
"the exposition","expozice"
" of the theme"," z motivu"
" of the first theme"," z prvn¡ho motivu"
" of the second theme"," z druh‚ho motivu"
" of the previous passage"," z pýedchoz¡ pas §e"
"a recapitulation","rekapitulace"
"the synthesis","synt‚za"
" of the two themes"," ze dvou motiv…"
" of previous passages"," z pýedchoz¡ pas §e"
"a verse","verç"
"a chorus","sbor"
"the finale","fin le"
"the coda","coda"
"a bridge-passage","most"
"first ","prvn¡ "
"second ","druh‚ "
"theme","motiv"
"a series of variations","ýada variac¡"
" on the theme"," na t‚ma"
" on the first theme"," na prvn¡ motiv"
" on the second theme"," na druhì motiv"
" and "," a "
"You continue the dance.","PokraŸujeç v tanci."
"The dance continues.","Tanec pokraŸuje."
"You continue the music.","PokraŸujete v hudbØ."
"The music continues.","Hudba pokraŸuje."
"You conclude your performance.","Uzav¡r te sv…j vìkon."
"The performers are finished.","éŸinkuj¡c¡ jsou dokonŸeni."
"Some performers finish their act.","NØkteý¡ umØlci dokonŸuj¡ sv…j Ÿin."
" has finished performing."," ukonŸil sv‚ vystoupen¡."
" concludes a performance."," uzav¡r  vystoupen¡."
"You've learned ","NauŸil jsi se "
"You feel like you know the basic rules of ","M ç pocit, §e zn ç z kladn¡ pravidla "
" now."," teÔ."
"Your","Tvoj¡"
"'s"," "
" lay"," polo§it"
" forth an awe-inspiring sermon for the ages!"," kaz n¡ vzbudilo £ctu na vØky vØk…!"
" artfully deliver"," umnØ dod vat"
" a lucid and powerful sermon."," jasn‚ a siln‚ k z n¡."
" giving a creditable sermon."," k z n¡, kter‚ je hodno uzn n¡."
" just can't give a sermon very well."," jen neum¡ dobýe k zat."
" dance"," tanec"
" flawlessly, like someone out of a legend!"," bezchybnØ,jako nØjak  legenda!"
" dancing exceptionally."," tanŸ¡ vìjmeŸnØ"
" dancing well."," dobrì taneŸn¡k"
" get"," dostat"
" tangled up."," zamotan‚"
" and the "," a "
" are indistinguishable!"," jsou k nerozezn n¡!"
"instrument","n stroj"
" delivering a virtuoso performance on the "," pýedvedl obdivuhodnì vìkon na "
" is absolutely flawless."," je naprosto bezchybnì."
"chant","popØvuj"
"song","p¡seå"
" could nearly pass for the voice of the "," by mohl bìt t‚mØý pova§ov n za hlas "
" play"," hr t"
" the "," ta "
" with skill."," s dovednost¡."
"sing","zp¡vat"
" beautifully."," n dhernØ."
" sound"," zvuk"
" vaguely like the intended "," ne jak bylo zamìçleno "
" playing the "," hraje "
" well."," dobýe."
"chanting","popØvovat"
"singing","zp¡v "
" make"," udØlat"
" a mockery of the "," vìsmØch "
" with a shameworthy performance."," s ostudnìm vìkonem"
"doesn't","ne"
"don't","ne"
" seem to know how to play the "," zd  se, §e v¡, jak hr t "
" sloppily"," nedbalì"
" and even forget"," a dokonce zapomenout"
" some of the words."," nØkter  slova"
" bring"," pýin‚st"
" the poem to life with this flawless recitation."," b seå o§ila dokonalou recitac¡."
" choose"," vybrat"
" the perfect phrasing."," perfektn¡ vyjadýov n¡."
" recite"," recitovat"
" the words evocatively."," slova sugestivnØ."
" enunciate"," vyslovit"
" crisply."," kýehce."
" speak"," mluvit"
" mumble"," mumlat"
", having completely forgotten the words.",", proto§e £plnØ zapomnØl slova."
" poorly."," chabØ."
" weave"," tkan¡"
" a mesmerizing tale!"," fascinuj¡c¡ pý¡bØh!"
" tell"," ý¡ci"
" the story in vivid detail."," pý¡bØh v detailech jako §ivìch."
" telling the tale quite well."," docela dobýe vypr v¡ pý¡bØh."
" stumble"," klopìtnout"
" over the details."," nad detaily."
"It has no writing.","Nem  § dn‚ p¡smo."
"The pages are blank.","Str nky jsou pr zdn‚."
"It has no pages.","Nem  § dn‚ str nky."
"noted intruder","proslunì vetýelec"
"Groups","Skupiny"
"Rocky Wasteland","Skalnat  Pustina"
"Alias: ","Pýezd¡vka: "
"Highest known in organization","Nejzn mØjç¡ v organizaci"
"Associated Organization: ","Pýidru§en  organizace: "
"Associated Plot: ","Souvisej¡c¡ pozemek: "
" to "," na "
"The "," ten "
"'s "," "
"death","smrt"
"We should have made it there by now.","U§ jsme tam mØli bìt."
"We should be making better progress.","MØli bychom dØlat lepç¡ pokrok."
"We are going the wrong way.","Jdeme çpatnìm smØrem."
"We haven't performed for some time.","U§ nØjakou dobu nem me provedeno."
"We have arrived at our destination.","Dorazili jsme do c¡le."
"The oppressor has been overthrown!","UtlaŸovatel byl svr§en!"
"We must not abandon ","Nesm¡me opustit "
"We must go back.","Mus¡me se vr tit."
"Empty announcement ","Pr zdn‚ ozn men¡ "
"spinning ","rotuj¡c¡ "
"flying ","l‚taj¡c¡ "
"It","To"
", but it is deflected by ",", ale je vychìlen o "
" by the "," podle "
" in the "," v "
" from behind"," zezadu"
" from the side"," ze strany"
" with "," s "
", but the attack is deflected by ",",ale £tok byl odbr cen d¡ky "
"The geldables have been torn away!","Kastr ti byly odra§eni!"
", lightly tapping the target!",", lehk‚ çkrtnut¡ o c¡l"
", but there is no force!",",ale nebyla v tom § dn  s¡la!"
", but it passes right through!",",ale proçlo to pý¡mo skrz!"
", but the attack passes right through!",",ale £tok proçel pý¡mo skrz!"
", but it glances away!",", ale kouk  jinam!"
", but the attack glances away!",", ale £tok smØýuje jinìm smØrem!"
" and the severed part sails off in an arc!"," a oddØlen  Ÿ st smØýuje obloukem jjinam!"
"the part","Ÿ st"
" is smashed into the body, an unrecognizable mass!"," je vra§en do tØla, §e z nØj z…stala neidentifikovateln  hmota!"
" splits in gore!"," promØnil se na krvavou kaçi!"
" collapses!"," zhroucen¡!"
"the injured part","zranØn  Ÿ st"
" is ripped into loose shreds!"," je roztrhanì na mal‚ kousky!"
" is torn apart!"," je roztrhanì!"
" and it is mostly cut away from the rest of the torso!"," a vØtçina tØla je odýez na od zbytk… trupu and it is mostly cut away from the rest of the torso!"
" is cloven asunder!"," je na dva kusy!"
" explodes into gore!"," explodoval na krvavou kaçi!"
" collapses into a lump of gore!"," zhroutil se do krvav‚ kaçe!"
" is crushed!"," je rozdrcenì!"
"tearing","trh n¡"
"tearing apart","trhat tØlo"
"shattering","roztý¡çtit"
"chipping","odçt¡pat"
"fracturing","l mat"
"denting","pomaŸkat"
"bruising","modýiny"
" it"," je"
" apart"," oddØlenØ"
" and"," a"
" tearing apart"," roztrh n¡"
" shattering"," tý¡çtivì"
" tearing"," trh n¡"
" chipping"," odçt¡pat"
" fracturing"," l mat"
" denting"," pomaŸkat"
" bruising"," modýiny"
" through a hole in the "," skrz d¡ru v "
"main part","hlavn¡ Ÿ st"
"passing through a hole in the "," proch zej¡c¡ d¡rou v "
"jamming the"," tlaŸenice v"
" part"," Ÿ st"
"through the ","skrz "
"out of the wound","ven z r ny"
"breaking away","odtrhnout se"
" most of"," vØtçina z"
" half of"," polovina z"
" a piece of"," Ÿ st z"
" the rest of"," zbytek z"
" through the "," skrz "
" and spilling "," a rozlitì "
"your","vaçe"
"rancid","zatuchlì"
"decomposing","rozkl daj¡c¡ se"
"rotten","shnilì"
"fetid","p chnouc¡"
"foul","odpornì"
"reeking","p chnouc¡"
"filthy","çpinavì"
"stinking","smradlavì"
"It is a gelding strike!","Je to £der!"
"It is a gelding blow!","Je to r na!"
"a major artery","hlavn¡ tepna"
"an artery","tepna"
" has been opened by the attack"," byl otevýenì d¡ky £toku"
"many nerves","hodnØ nerv…"
"a motor nerve"," v¡ce nerv…"
"a sensory nerve"," smyslovì nerv"
"have","m¡t"
" been severed"," byl odý¡znut"
"a ligament"," vaz"
" has been "," byl "
"torn","roztr§enì"
"sprained","vymknutì"
"bruised","pohmo§dØnì"
"a tendon"," çlacha"
"strained"," napjatì"
" is ripped to shreds!"," je roztrhanì na kusy!"
" breaks!"," pýeruçenì!"
" attack is interrupted!"," £tok je pýeruçen!"
" have"," m¡t"
" has"," m "
" become enraged!"," rozzlobit se!"
" has lodged firmly in the wound!"," pevnØ uv¡zl v r nØ!"
" latch on firmly"," petlice na z voru"
" latches on firmly"," petlice na z vory"
" latch on firmly!"," petlice na z voru!"
" latches on firmly!"," petlice na z vory!"
" are"," jsou"
" is"," je"
" propelled away by the force of the blow!"," odra§en silou £deru!"
" been knocked unconscious!"," upadl do bezvØdom¡!"
" been stunned again!"," byl znovu omr Ÿen!"
" been stunned!"," byl omr Ÿen!"
" having more trouble breathing!"," obt¡§nØji se mu dìch !"
" having trouble breathing!"," m  probl‚my s dìch n¡m!"
" feel"," c¡tit"
" looks"," hled "
" even more sick!"," jeçtØ nemocnØjç¡!"
" sick!"," nemocnì!"
" is injected into the "," je vstýikov n do "
" pours over the "," je oplachovnì "
" flows over the "," teŸe pýes "
" splatters over the "," nastý¡k n na "
" crumbles over the "," drolen na "
" is sucked out of the wound!"," je vys t z r ny!"
"Date: ","Datum: "
" (Tame)","  (OchoŸenì)"
"with "," s "
" item"," polo§ka"
"Independent","Nez vislì"
"No team/side","V tìmu/Ve skupinØ"
"Side #","Skupina #"
"Create","Vytvoýit"
"Reset","Resetovat"
"Conditions","Podm¡nky"
"Equipment","Vybaven¡"
"Skills","Dovednosti"
"Creature","Stvoýen¡"
"Tame/mountable","OchoŸenì/krotkì"
" year"," rok"
"Set the weather, temperature, and time.","Nastavte poŸas¡, teplotu a Ÿas."
"No cumulus clouds","¦ dn‚ kupovit‚ mraky"
"Scattered cumulus","Roztrouçen  kupovit  oblaka"
"Many cumulus (rain)","Mnoho kupovitìch oblak… (d‚çœ)"
"Cumulonimbus (rain)","Cumulonimbus (d‚çœ)"
"No stratus","Bez stratusu-mhly"
"Stratus (rain)","Mlha (d‚çœ)"
"Nimbostratus (rain)","Deçœov  sloha (d‚çœ)"
"No fog","¦ dn  mlha"
"Thin mist","ü¡dk  mlha"
"Thick fog","Hust  mlha"
"Dragonfire","DraŸ¡ oheå"
"Scorching","Spaluj¡c¡"
"Subterranean","Podzem¡"
"Below freezing","Pod bodem mrazu"
"Deathly cold","Smrt¡c¡ zima"
"Absolute zero","Absolutn¡ nula"
"Morning","R no"
"Late morning","Pozdn¡ odpoledne"
"Early afternoon","¬asn‚ odpoledne"
"Late afternoon","Pozdn¡ odpoledne"
"Early evening","PodveŸer"
"Evening","VeŸer"
"Night","Noc"
"Late night","Pozdn¡ noc"
"Early morning","¬asn‚ r no"
"item","polo§ka"
" have returned."," se vr tili."
" and others have returned."," a ostatn¡ se vr tili."
" has returned."," se vr til."
" has brought back many tales from beyond "," vr til se ze zahraniŸ¡ se spoustou pý¡hod "
" has brought back a few rumors."," vr til se spØt s nØkolika povØstmi."
" has brought back a rumor from abroad."," pýiçel z cest z ciziny s nØkolika f mami."
" has arrived."," pýijel."
" is visiting."," navçt¡vil."
", the performance troupe, has arrived."," dorazil divadeln¡ soubor."
", a performance troupe, is visiting."," navçt¡vil n s divadeln¡ soubor."
"Spoils Report: ","Seznam zka§enìch vØc¡: "
" and others"," a dalç¡"
"Winter","Zima"
"Autumn","Podzim"
"Summer","L‚to"
"Spring","Jaro"
"The dead walk.  Hide while you still can!","¦iv¡ mrtvì. Schovej se dokud m…§eç!"
"A vile force of darkness has arrived!","Pýiçla hnusn  s¡la temnoty!"
"overlords","vl dci"
"Stone-Fall Trap","Past ze Spadl‚ho Kamene"
"save","ulo§it"
"fighting with ","Bojuje s "
"Owner: ","Vlastn¡k: "
"Weight: ","Hmotnost: "
"Value: ","Hodnota: "
"View stockpile","Zobrazit z sobu"
"Beside ","Vedle "
"herself","sama"
"himself","s m"
"Cancel","Zruçit"
"Overview","Pýehled"
"Items","PýedmØty"
"Health","Zdrav¡"
"Rooms","Pkoje"
"Relations","Vztahy"
"Thoughts","Myçlenky"
"Personality","Osobnost"
" Year"," Rok"
" Old"," Starì"
"Spouse: ","Choœ: "
" lovers"," milenci"
"Lover: ","Milenec: "
" children"," dØti"
"Child: ","D¡tØ: "
" pets"," mazl¡Ÿci"
"Strong","Silnì"
"Agile","Hbitì"
"Tough","Hou§evnatì"
"High stamina","Vysok  vytrvalost"
"Recovers quickly","Rychle se zotavuje"
"Resists sickness","Odol v  nemoci"
"Weak","Slabì"
"Clumsy","Nemotornì"
"Frail","Kýehkì"
"Low stamina","N¡zk  vytrvalost"
"Recovers slowly","Zotavuje se pomalu"
"Sickly","Stonavì"
"Good analytical ability","Dobr  analytick  schopnost"
"Good focus","Dobr‚ zamØýen¡"
"High willpower","Vysok  v…le"
"Creative","Tvoýivì"
"Good intuition","Dobr  intuice"
"Patient","TrpØliv¡"
"Good memory","Dobr  pamØœ"
"Good with language","Dobrì v jazyku"
"Good spatial sense","Dobrì prostorovì smysl"
"Musical","Hudebn¡"
"High kinesthetic sense","Vysokì kinestetickì smysl"
"Developed empathy","Rozvinut  empatie"
"High social awareness","Vysok‚ soci ln¡ povØdom¡"
"Poor analytical ability","æpatn  analytick  schopnost"
"Poor focus","æpatn‚ zamØýen¡"
"Low willpower","N¡zk  v…le"
"Not creative","Nen¡ kreativn¡"
"Poor intuition","æpatn  intuice"
"Impatient","NetrpØlivì"
"Poor memory","æpatn  pamØœ"
"Bad with words","æpatnì se slovy"
"Poor spatial sense","æpatnì prostorovì smysl"
"Not musical","Nen¡ hudebn¡"
"Poor kinesthetic sense","æpatnì kinestetickì smysl"
"Poor empathy","æpatn  empatie"
"Poor social awareness","æpatn‚ soci ln¡ povØdom¡"
"Quick to love","Rychlì milovn¡k"
"Hateful","Nen vistnì"
"Envious","Z vistivì"
"Cheerful","Veselì"
"Depression-prone","N chylnì na neprese"
"Anger-prone","N chylnì k hnØvu"
"Anxious","ézkostnì"
"Lustful","Chtivì"
"Easily stressed","Snadno stresovanì"
"Greedy","Chamtivì"
"Intemperate","Nestý¡dmì"
"Brawler","Vìtr§n¡k"
"Stubborn","Tvrdohlavì"
"Wasteful","Marnotratnì"
"Prone to discord","N chylnì k sv ru"
"Flatterer","Lichotn¡k"
"Polite","Zdvoýilì"
"Disdains advice","Pohrd  radou"
"Fearless","Neboj cnì"
"Overconfident","Pý¡liç sebevØdom¡"
"Vain","Marnivì"
"Ambitious","Ambici¢zn¡"
"Gracious","Milostivì"
"Extravagant","Extravagantn¡"
"Zany","Bl znivì"
"Vengeful","Pomstychtivì"
"Proud","Hrdì"
"Cruel","Krutì"
"Single-minded","Jednoduçe smìçlej¡c¡"
"Hopeful","NadØjnì"
"Curious","ZvØdavì"
"Bashful","Stydlivì"
"Private","Uzavýenì"
"Perfectionist","PuntiŸk ý"
"Obstinate","Zatvrzelì"
"Tolerant","Tolerantn¡"
"Emotional obsessive","Emocion lnØ posedl¡"
"Swayed by emotions","Houpaj¡c¡ emoce"
"Altruistic","Altruistickì"
"Dutiful","SvØdomitì"
"Thoughtless","Bezohlednì"
"Orderly","ü dnì"
"Trusting","D…vØrnì"
"Values decorum","Sluçn‚ chov n¡"
"Disdains decorum","Opovrhuje sluçnost¡"
"Hungry","Hladovì"
"Thirsty","¦¡znivì"
"Workshops","D¡lny"
"Locations","Lokace"
"Scholar","ækol k"
"No orders","¦ dn‚ pý¡kazy"
"Traits","Vlastnosti"
"stone... rock","k men... sk la"
"glass and burning wood","sklo a hoý¡c¡ dýevo"
"will only do assigned tasks","bude plnit pouze zadan‚ £koly"
"discourse on the relationship between wholes and parts","diskuze o vztahu mezi celky a Ÿ stmi"
"he","on"
"didn't feel ","nec¡til "
"was ","byl "
"is ","je "
"felt ","c¡til "
"feels ","c¡t¡ "
"was in ","byl v "
"is in ","je v "
"doesn't feel ","nec¡t¡ "
"annoyed","otr venì"
"satisfied","spokojenì"
"grouchy","mrzutì"
"bored","znudØnì"
"uneasy","nepý¡jemnì"
"WARNING:  If successful, your soldiers will join the","VAROVµNÖ: Pokud £spØj¡, vaçi voj ci se pýipoj¡ k"
"Stockpiles","SkladiçtØ"
"[Completed]","[DokonŸeno]"
"Bins, bags, and barrels","Koçe, taçky a sudy"
"[Viewed]","[Zobrazeno]"
"And remember: [C:2:0:1]Losing is fun![C:7:0:0]","A pamatuj: [C:2:0:1]Prohr t je z bava![C:7:0:0]"
"Stockpile wood","SkladiçtØ dýeva"
"Place carpenter's workshop","Um¡sti tesaýovu d¡lnu"
"Construct workshop","Postav d¡lnu"
"Click workshop","Klikni na d¡lnu"
"Use the [C:5:0:1]Build[C:7:0:0] menu to place it in a room underground, just like the [C:6:0:0]Workshop[C:7:0:0].  Dig a new room first if you like.  ","Pou§ijte nab¡dku [C: 5: 0: 1] Stavba [C: 7: 0: 0], abyste ji um¡stili do m¡stnosti pod zem¡, stejnØ jako [C: 6: 0: 0]D¡lna [C: 7: 0: 0]. Pokud chcete, vykopte novou m¡stnost. "
"An obvious material to use to make the crafts is rock. ","Zjevnìm materi lem k pou§it¡ ýemesel je sk la. "
"The underground rectangle must be near the surface, where there is soil (loam, clay, or sand.) One level down should suffice, before you hit rock. ","Podzemn¡ obd‚ln¡k mus¡ bìt pobl¡§ povrchu, kde je p…da (hl¡na, j¡l nebo p¡sek.) Jedna £roveå dol… by mØla staŸit, ne§ zas hnete sk lu. "
"[C:6:0:1]Potash[C:7:0:0] is the fertilizer of choice, and it can be created in the [C:6:0:0]Ashery[C:7:0:0], using [C:6:0:1]Ash[C:7:0:0] from [C:6:0:1]Wood[C:7:0:0] burned in a [C:6:0:0]Wood Furnace[C:7:0:0].  A [C:3:0:0]Water Source[C:7:0:0] zone and a [C:6:0:1]Bucket[C:7:0:0] are also required. ","[C:6:0:1]Hnojivo[C:7:0:0] je hnojivo podle vìbØru, a m…§e bìt vytvoýen v [C:6:0:0]Ashery[C:7:0:0], pou§it¡m [C:6:0:1]Popel[C:7:0:0] ze [C:6:0:1]Dýevo[C:7:0:0] sp len¡m v [C:6:0:0]DýevØn  Pec[C:7:0:0].  Z¢na [C:3:0:0]Vodn¡ Zdroj[C:7:0:0] a [C:6:0:1]Kbel¡k[C:7:0:0] jsou tak‚ vy§adov ny. "
"Only one condition needs to be satisfied for the [C:6:0:1]Minecart[C:7:0:0] to move to the next [C:6:0:0]Track Stop[C:7:0:0].","Pro [C:6:0:1]D…ln¡ voz¡k[C:7:0:0] mus¡ bìt splnØna pouze jedna podm¡nka, aby se pýesunul na dalç¡ [C:6:0:0]Zast vku[C:7:0:0]."
"Some injuries require [C:6:0:1]Splints[C:7:0:0], or [C:6:0:1]Gypsum Plaster Powder[C:7:0:0] for [C:6:0:1]Orthopedic Casts[C:7:0:0].  [C:6:0:1]Soap[C:7:0:0] is necessary to prevent infection. ","NØkter  zranØn¡ vy§aduj¡ [C:6:0:1]Dlahy[C:7:0:0], nebo [C:6:0:1]S drovì Prach[C:7:0:0] pro [C:6:0:1]Ortopedick‚ Obsazen¡[C:7:0:0].  [C:6:0:1]Mìdlo[C:7:0:0] je nezbytn‚ k zabr nØn¡ infekce. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","¦¡zeå po znalostech nØkterìch obyvatel m…§e bìt uspokojena v [C:1:0:1]Knihovna[C:7:0:0]. "
"Warning!","Varov n¡!"
"soap","mìdlo"
"Text entry","Zad v n¡ textu"
"Avarice","Lakota"
"Creature variations...","Variace stvoýen¡..."
"Finalizing creature variations...","Finalizace variac¡ stvoýen¡..."
"Adventurer","Dobrodruh"
"lord","p n"
"Died of thirst","Zemýel na §¡zeå"
"Clear glass","¬ir‚ sklo"
"Soap","Mìdlo"
"Potash","Hnojivo"
"Stone","K men"
"Body parts","¬ sti tØla"
"Stone/clay","K men/j¡l"
"Blocks: stone/clay","Bloky: k men/j¡l"
"Other stone","Jinì k men"
"Cut stone","üezanì k men"
"Body","TØlo"
"Head","Hlava"
"Hands","Ruce"
"My stones, are you giving me those?  Do you ","Moje kameny, d v ç mi je? M ç "
"Satisfied for next check","Spokojen na dalç¡ kontrolu"
"Not satisfied for next check","Nespokojen na dalç¡ kontrolu"
"You do not have any workshops.","Nem ç § dn‚ d¡lny."
" to harvest"," ke sklizni"
"Library","Knihovna"
"Select a stockpile to","Vyberte skladiçtØ na"
"Select a stockpile or","Vyberte skladiçtØ nebo"
"All visitors welcome","Vçichni n vçtØvn¡ci v¡t ni"
"Citizens and long-term residents only","Pouze obŸan‚ a osoby s dlouhodobìm pobytem"
"Citizens only","Pouze obŸan‚"
"Soap (Desired): ","Mìdlo (Po§adovan‚) "
"Tables: ","Stol…: "
"Chairs: ","¦idl¡: "
"Tavern Keeper","Hospodskì"
"Monster Slayer","Zabij k Pý¡çer"
"New library","Nov  knihovna"
"Cabinet","Ský¡å"
"Millstone","Mlìnskì K men"
"Stone-fall","Spadlì k men"
"Off map","Mimo mapu"
"Warning: stockpile has no type.","VAROVµNÖ: skladiçtØ nem  § dnì typ."
"Carve a track in a stone floor.  Tracks are used by minecarts with routes set in the hauling menu.","Vytesat koleje v kamenn‚ podlaze. Koleje pou§¡vaj¡ d…ln¡ voz¡ky s trasami nastavenìmi v pýepravn¡ nab¡dce."
"Set how many barrerls, bins, and wheelbarrows this stockpile can use.","Nastavte, kolik sud…, koç… a koleŸek m…§e tato z soba pou§¡t."
"Add a stop to this route.  Minecarts will move between stops when conditions are satisfied.","Pýidejte zastaven¡ t‚to trasy. D…ln¡ voz¡ky se pýesunou mezi zast vkami, kdy§ jsou splnØny podm¡nky."
"Used to make lye, potash, and milk of lime.  Construction requires blocks, barrel, and a bucket.","Pou§¡v  se k vìrobØ louhu, hnojiva a v penn‚ vody. Stavba vy§aduje bloky, sud a kbel¡k."
"Make beds and various furniture here, as well as bins, barrels, and more.","Vytvoýte postele a r…znì n bytek, stejnØ jako koçe, sudy a dalç¡."
"Make stone furniture here, as well as blocks which are used in constructions.","Vytvoýte zde kamennì n bytek a tak‚ bloky, kter‚ se pou§¡vaj¡ ve stavebnictv¡."
"Use dyes here to color thread and cloth.  Requires a barrel and bucket for construction.","Pou§ijte zde barvivo k bareven¡ vl kna a l tky. Vy§aduje sud a kbel¡k pro vìstavbu."
"Make sugar, flour, and various useful slurries here.  Tasks are completed very slowly compared to the powered millstone.","Vytvoýte zde cukr, mouku a r…zn‚ u§iteŸn‚ býeŸky. ékoly jsou splnØny velmi pomalu ve srovn n¡ s poh nØnìm mlìnem."
"Plant crops at the farmplot.  You will need seeds or spawn and must select crops by season.  Crops can be fertilized with potash.  Soil is richer deeper underground.","PØstov n¡ plodin na farmØ. Budete potýebovat semena nebo podhoub¡ a mus¡te vyb¡rat plodiny podle sez¢ny. Plodiny lze hnojit hnojivem. P…da je bohatç¡ hloubØji pod zem¡."
"Citizens that cannot be buried properly can still be memorialized on slabs.  Slabs are created and engraved at the stoneworker's shop.","ObŸan‚, kteý¡ nelze spr vnØ pohýbeni, mohou bìt st le pamatovan¡ na desk ch. Desky jsou vytv ýeny a vyryty v kamen¡kovØ obchodØ."
