"more presumptious","bardziej arogancki"
"Choose a stockpile with which the track stop's vehicle will exchange items.  The vehicle will take desired items and offload any others.","Wybierz magazyn, z kt¢rym pojazd z przystanku b©dzie wymieniaà przedmioty. Pojazd we´mie poæ•dane przedmioty i wyàaduje wszystkie inne."
"Forbid trap cleaning during sieges","Zakaæ czyszczenia puàapek podczas obl©æe‰"
"It makes me very anxious.","To mnie bardzo niepokoi."
"Yes, and trade we will!  Simply tell me what interests you and what you're prepared to offer in exchange.","Tak, i b©dziemy si© wymieniaÜ! Po prostu powiedz mi, co ci© interesuje i co jesteò got¢w zaoferowaÜ w zamian."
"believes that the time taken to master a skill is a horrible waste","uwaæa, æe czas poòwi©cony na opanowanie jakiejò umiej©tnoòci to straszne marnotrawstwo"
"grow funding network","rozw¢j sieci finansowania"
", but it passes right through!",", lecz przelatuje na wylot!"
"al voices bring melody, counterpoint and rhythm","wszystkie gàosy wnosz• melodi©, kontrapunkt i rytm"
"is tiny and weak","jest malutki i sàaby"
"the divergence of the harmonic series","rozbieænoòÜ szeregu harmonicznego"
"Charge Attack","Atak Szaræ•"
"It is an example of ","Jest to przykàad "
"Crushed under a collapsing ceiling","Zmiaædæony pod zawalaj•cym si© sufitem"
"Cannot chop tree","Nie moæe zr•baÜ drzewa"
"Certainly considered a bully","Z pewnoòci• uwaæany za chuligana"
"the construction and use of the water-powered trip hammer","budowa i wykorzystanie màota pneumatycznego zasilanego wod•"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Przygotuj si© do poprowadzenia swoich dzielnych podopiecznych do fortuny w òwiecie peànym niebezpiecze‰stw. "
"I was yelled at by an unhappy citizen.","Krzykn•à na mnie niezadowolony obywatel."
"high-voiced","o wysokim gàosie"
"Others were too wary to make the journey.","Inni byli zbyt ostroæni, by odbyÜ t© podr¢æ."
"zaniness","dziwactwo"
" was claimed"," twierdzono"
"be moderately loud","byÜ umiarkowanie gàoòny"
"Order listener to ","Sàuchacz zam¢wie‰ do "
"finds leisure time wasteful","uwaæa czas wolny za marnotrawstwo"
"Loading work quotas...","ùadowanie limit¢w pracy..."
"Cannot generate random creatures -- missing creature variation ","Nie moæna wygenerowaÜ losowych stworze‰ - brakuje wariacji stworze‰ "
"a murder","morderstwo"
"State minor feeling of vengefulness","Stan niewielkiego uczucia mòciwoòci"
"events","wydarzenia"
"You begin","Rozpoczynasz"
"thrilled","wstrz•òni©ty"
"a foiled corruption conspiracy","udaremniony spisek korupcyjny"
"amber","bursztyn"
"being unable to find somebody to complain to about job scarcity","niemoænoòÜ znalezienia kogoò, komu moæna by si© poskaræyÜ na brak pracy"
"various civilized races peopled the world.","r¢æne cywilizowane rasy zaludniày òwiat."
"Children.","Dzieci."
"more wasteful","bardziej rozrzutny"
"Investigate or interrogate (new menu)","Zbadaj lub przesàuchaj (nowe menu)"
" from a period of no rule"," z okresu bez rz•d¢w"
" second"," drugi"
"wait","czekaÜ"
"has a narrow, prominent","ma waski, wysuni©ty"
"to beseech","prosiÜ"
"Collapsed","Upadà"
"engineering:machine:piston","inæynieria:maszyna:tàok"
"Click a creature to start a new conversation","Kliknij istot©, aby rozpocz•Ü now• rozmow©"
"Furniture/siege ammo","Meble/amunicja obl©ænicza"
"to bathe the world in chaos","by sk•paÜ òwiat w chaosie"
"Requests (Imports from ","Ω•dania (Import z "
"surveying by triangulation for engineering projects","pomiary triangulacyjne dla projekt¢w inæynieryjnych"
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please.","  Chciaàbym m¢c ci powiedzieÜ, gdzie powinieneò zacz•Ü szukaÜ. P¢ki co, r¢b to co chcesz."
"[C:4:0:1].Overlapping fracture","[C:4:0:1].Nakàadaj•ce si© zàamanie"
"Shrub","Krzew"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: We can part with at most ","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]: Moæemy si© rozstaÜ z co najwyæej "
"Make Caves Visible","Uwidacznianie jaski‰"
" has calmed down."," uspokoià si©."
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","uwaæa, æe najwaæniejsze jest, aby prezentowaÜ odwaæn• twarz i nigdy nie narzekaÜ, nie narzekaÜ ani nawet nie okazywaÜ emocji"
"Leave Wall","Zostaw ócian©"
"medicine:theory:classification of bodily fluids","medycyna:teoria:klasyfikacja pàyn¢w ustrojowych"
"Associated","Powi•zany"
"Avoid conflict today.","Unikaj konflikt¢w dzisiaj."
"Returning soldiers bring rumor(s)","Powracaj•cy æoànierze przynieòli plotk©/plotki"
"has a fairly deep and raspy voice","ma doòÜ gà©boki i chrapliwy gàos"
" bag is used by the musician to control the steady flow of air through the instrument.]"," Worek jest uæywany przez muzyka do kontrolowania staàego przepàywu powietrza przez instrument]."
"You feel hot/cold","Czujesz gor•co/zimno"
"drinking without well","picie bez studni"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","Przypisz rozkaz ochrony nory. Ωoànierze b©d• patrolowaÜ nor© i atakowaÜ kaæde wrogie stworzenie."
"Forceps","Kleszcze"
"tanned","opalony"
"engineering:optics:theory of rainbows","inæynieria:optyka:teoria t©czy"
" terrified"," przeraæony"
" promised "," przysi•gà "
"No item to throw","Brak prtzedmiotu do rzucenia"
"being tormented in nightmares by a dead sibling","bycie dr©czonym w koszmarach przez zmaràe rodze‰stwo"
"The guildhall petition by ","Petycja w sprawie gildii zàoæona przez "
"Surgeon","Chirurg"
"burned away","spalony"
"by invocation of True Name","przez przywoàanie Prawdziwego Imienia"
"You've caught a ","Zàapaàeò "
"Give me the bustle and noise over all that quiet!","Daj mi gwar i haàas ponad t• cisz•!"
"as a former slave of","jako byày niewolnik"
"respects commerce","szanuje handel"
"feeling apathetic","czuje apati©"
"recruit","rekrutacja"
" was imprisoned by"," zostaà uwi©ziony przez"
"sees the attainment and preservation of knowledge as an offensive enterprise engaged in by arrogant fools","postrzega zdobywanie i zachowywanie wiedzy jako obra´liwe przedsi©wzi©cie, w kt¢re angaæuj• si© aroganccy gàupcy"
"is short and just incredibly fat","jest niski i po prostu niewiarygodnie gruby"
"strand extractor","ekstraktor pasm wàos¢w"
"former master","byày mistrz"
" is at war with us."," jest z nami w stanie wojny."
"the Rising of the Moon","wsch¢d ksi©æyca"
"is weak and extremely short","jest sàaby i ekstremalnie niski"
"begins to stammer when ","zaczyna j•kaÜ si©, gdy "
"addition of masterful rollers","dodanie mistrzowskich rolek"
"Welcome to Dwarf Fortress","Witaj w Dwarf Fortress"
"Grab Milk Unit","We´ Jednostk© Mleka"
" has brought back many tales from beyond "," przyni¢sà wiele opowieòci spoza "
"thoughtless","bezmyòlny"
"Clothes Making","Wyr¢b Ubra‰"
"Mechanic","Mechanik"
"clothes rot off of ","ubrania gnij• "
"That's not right.","To niewàaòciwe."
"Nothing to interact","Nic do interakcji"
"often feels lustful","cz©sto odczuwa poæ•danie"
"forming a bond with an animal training partner","Tworzenie wi©zi ze zwierz©cym partnerem treningowym"
"Embark","Wyrusz"
", animated by unknown forces",", oæywiony przez nieznane siày"
"Uninterested in an owner","Niezainteresowany wàaòcicielem"
"No match.","Nie pasuje."
"a year ago","rok temu"
"completed job","uko‰czone zadanie"
"SAVAGERY REJECTION","ODRZUCENIE ZDZICZENIA"
"Dictionary","Sàownik"
"woodcutter","drwal"
"I worship no one.","Nie wyznaj© niczego."
"does not easily fall in love and rarely develops positive sentiments","nie zakochuje si© àatwo i rzadko rozwija pozytywne uczucia"
"Duplicate","Duplikat"
"Trader","Handlowiec"
"the search of ","poszukiwanie "
"Preparing for the caravan","Przygotowania do karawany"
"Your bookkeeper has done enough work to attain ","Tw¢j ksi©gowy wykonaà wystarczaj•co duæo pracy, aby osi•gn•Ü "
"Crafting in the base game is limited to constructing a stone axe necessary to fell trees.  You can pick up few rocks and a tree branch to get started.  ","W podstawowej wersji gry rzemiosào ogranicza si© do wykonania kamiennego topora, niezb©dnego do òcinania drzew. Na pocz•tek moæesz zebraÜ kilka kamieni i gaà•´ drzewa. "
" was spotted sneaking around!"," zostaà zauwaæony, gdy si© skradaà!"
"more of a loner","bardziej samotniczy"
"Find embark location","Znajd´ miejsce docelowe"
"Child is nobility","Dziecko jest szlachcicem"
"light","biaàe"
"Various seeds","R¢æne nasiona"
"denting","wgniataj•c"
" the name "," nazwa "
"stress vulnerability","podatnoòÜ na stres"
"Initial forest square count fails by ","Pocz•tkowa liczba kwadrat¢w lasu nie powiedzie si© przez "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","Twoje wyczyny zostan• zapisane przez tryb Legend i mistrzowskich grawer¢w w kolejnych fortecach w twoim òwiecie."
"flat","pàaski"
"The desired pitch is selected using a ","Ω•dana wysokoòÜ jest wybierana za pomoc• przycisku "
"Feared as a villain","Budz•cy strach zàoczy‰ca"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","Zaznacz czy magazyn ma przyjmowaÜ przedmioty zewsz•d, czy jedynie z konkretnych warsztat¢w i magazyn¢w."
"boiling clear glass","wrz•ce przezroczyste szkào"
"I accept this honor.","Przyjmuj© ten zaszczyt."
"the method of writing the history of a single individual","metoda pisania historii pojedynczej osoby"
" and it is mostly cut away from the rest of the torso!"," i jest w wi©kszoòci odci©ty od reszty tuàowia!"
"Admiration","podziw"
"rages","wòciekà si©"
"Announcements","Ogàoszenia"
"meeting area zones, dining rooms and","obszar¢w spotka‰, jadalni i"
" became "," zostaà "
" is angry"," jest zày"
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","Aby moæna byào korzystaÜ z niekt¢rych funkcji, takich jak zlecenia pracy czy ksi©gowoòÜ, musz• byÜ przypisani [C:5:0:0]Administratorzy[C:7:0:0]. "
"Shearer","Strzyæ"
"Mid-","órodkowy "
" rope"," lina"
"ill-fated ","niefortunny "
"feel heavy","czuÜ si© ci©æko"
"The army of ","Armia "
"is very frail and incredibly long","jest bardzo w•tày i niewiarygodnie dàugi"
"a robbery","rabunek"
"If you survive until the caravan comes you may also trade for [C:6:0:1]Drinks[C:7:0:0] ","Jeòli przetrwasz do przybycia karawany moæesz takæe handlowaÜ z ni• [C:6:0:1]Napojami[C:7:0:0] "
"Slab engraved","Pàyta zostaàa wygrawerowana"
"You know, I think you're right.","Wiesz co, myòl© æe masz racj©."
"Dismiss minor feeling of shock","Odrzucenie niewielkiego uczucia szoku"
"in order to glorify ","w celu uwielbienia "
" battles"," bitwy"
"Masterwork","Arcydzieào"
"amused","rozbawiony"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","Niezadowoleni obywatele mog• ´le si© zachowywaÜ i sprawiaÜ kàopoty, i mniej ludzi zaryzykuje podr¢æ do "
"You need a free grasp to climb.","Do wspinaczki potrzebny jest wolny chwyt."
"a divine being","boskim bytem"
"earth","ziemia"
"specialized surgical instruments","specjalistyczne instrumenty chirurgiczne"
" and it is all thanks to "," a to wszystko dzi©ki "
"is gigantic and quite fat","jest gigantyczny i doòÜ gruby"
"Gladiatory Games","Gry Gladiator¢w"
"Water wheels are 1x3 or 3x1.","Màyny wodne maj• wymiary 1x3 lub 3x1."
" looks "," wygl•da na "
"free rhythm","uæywaÜ zapraw"
"I see your low race still revels in death.  That poor, gentle creature...","Widz©, æe wasza niska rasa wci•æ rozkoszuje si© òmierci•. To biedne, delikatne stworzenie..."
"Please help me to escape from this place.","Prosz©, pom¢æ mi uciec z tego miejsca."
" Upward Track (NS)"," ócieæka w g¢r© (NS)"
"the Purchase","Zakup"
"the ghost of my sibling","duch jednego z mojego rodze‰stwa"
" a friend"," przyjaciel"
" specific move"," specyficznym ruchem"
"the classification of toxic substances","klasyfikacja substancji toksycznyc"
"mid-length phrases","zwroty o òredniej dàugoòci"
"Writing","Pisanie"
"a great dining room","Wspaniaàa jadalnia"
"is thin, skinny and weak","jest cienki, chudy i sàaby"
"announcement","ogàoszenie"
"Machines/fluids","Maszyny/pàyny"
", but it means nothing now.",", ale teraz to nic nie znaczy."
"More likely, your dwarves will starve, unless you read the first few guides here! ","Co bardziej prawdopodobne, twoje krasnoludy umr• z gàodu, zanim przeczytasz tutaj pierwsze kilka poradnik¢w! "
"Frequent","Cz©ste"
"the mercenary operation","operacja najemnik¢w"
"Comrade","Towarzysz"
"Your dreams will come true.","Twoje marzenia si© speàni•."
"is quite mocking in tone","ma doòÜ przeòmiewczy ton"
"'s onslaught","atak"
"State minor feeling of love","Stan niewielkiego uczucia miàoòci"
"'s location","lokalizacja"
"I'm very lonely.","Jestem bardzo samotny."
"active performance poem reciter","aktywny recytator wierszy"
"State minor feeling of gloom","Stan niewielkiego przygn©bienia"
" recitation of "," recytacja "
"has high cheekbones","ma wysoko osadzone koòci policzkowe"
"philosophy:specialized:politics social welfare","filozofia:specjalistyczna:polityka opieka spoàeczna"
"a noted flatterer","wybitny pochlebca"
"[C:3:0:0]Zones[C:7:0:0] are placed much like [C:6:0:0]Stockpiles[C:7:0:0]. ","[C:3:0:0]Strefy[C:7:0:0] s• rozmieszczane zupeànie jak [C:6:0:0]Magazyny[C:7:0:0]. "
"Mandate period (more = fewer)","Okres mandatu (wi©cej = mniej)"
"Nonsense","Nonsens"
"mathematics:geometry:pythagorean triples small","matematyka:geometria:tr¢jki pitagorejskie maàe"
"the construction and use of the flask","budowa i zastosowanie kolby"
" Floor Grate"," Kratownica Podàogowa"
"greedier","bardziej chciwy"
"a theft","kradzieæ"
"Resourcefulness","Zaradnoòci"
"the enactment of a series of oppressive laws","uchwalenie szeregu opresyjnych praw"
"medicine:theory:disease classification","medycyna:teoria:klasyfikacja chor¢b"
"the struggle for survival","walka o przetrwanie"
"the construction and use of the astrarium","budowa i uæytkowanie astrarium"
"ladies","damy"
"profaned","sprofanowaà"
"has a large body but is incredibly skinny","ma duæe ciaào, ale jest niewiarygodnie chudy"
"is lanky and frail","jest chudy i w•tày"
"skip","pomi‰"
"That's suspicious!","To podejrzane!"
"has an extremely broad body with lots of fat on it","ma ekstremalnie szerokie ciaào z ogromn• iloòci• tàuszczu"
"Dirt Road","Wydeptana Droga"
"the causes of historical events","przyczyny wydarze‰ historycznych"
"You are nauseated.","Zrobiào ci si© niedobrze."
"Give me a break.","Daj mi przerw©."
"Cloth Workshop","Warsztat Sukienniczy"
"d strongly favored","d zdecydowanie faworyzowany"
"the taming of the ","oswajanie "
"Engravers","Grawerzy"
"grieved","zasmucony"
" partially free of the web."," cz©òciowo wolne od sieci."
" mounts "," wierzchowce "
"Failed to find CREATURE_CASTE_GRAPHICS creature caste ","Nie znaleziono kasty stworzenia CREATURE_CASTE_GRAPHICS "
"Traits","Cechy"
" to live a life of adventure"," æyÜ æyciem peànym przyg¢d"
"gets distracted from conversations easily when ","àatwo odwraca uwag© od rozm¢w, gdy "
" weapons"," bro‰"
" superiorly designed"," Doskonale zaprojektowany"
"Move keyboard cursor down (z)","Przesuni©cie kursora klawiatury w d¢à (z)"
"I'm not worried.","Nie martwi© si©."
"great creativity","wielka kreatywnoòÜ"
"gave food","daà jedzenie"
"a castle wall","mur zamkowy"
"Some time spent in reflection is admirable, but you must not forget to live your life.","Poòwi©canie troch© czasu na refleksje jest godne podziwu, ale nie moæesz zapominaÜ o æyciu."
"the notion of bonds between members of a community","poj©cie wi©zi mi©dzy czàonkami wsp¢lnoty"
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","Tutaj moæesz tworzyÜ cz©òci do balist i katapult. Ten warsztat jest r¢wnieæ miejscem, gdzie przechowywana jest amunicja do balist."
"legendary bully","legendarny zbir"
"has a small build and is very weak and incredibly skinny","jest drobnej budowy, bardzo sàaby i niewiarygodnie chudy"
"Pike","Pika"
"being rescued","uratowany"
"superior quality ","najwyæsza jakoòÜ "
"The victory was shared by ","Zwyci©stwo podzielili mi©dzy sob• "
"extremely low","ekstremalnie niski"
" because you are swimming."," poniewaæ pàywasz."
"Verbally struggle against great dismay","Werbalna walka z wielkim przeraæeniem"
"the Secret","Sekret"
"dream","marzenie"
"item was favorite possession","przedmiot byà ulubion• rzecz•"
"You conclude your performance.","Zaka‰czasz sw¢j wyst©p."
" told the story of "," opowiedziaà histori© "
"trapped in cage","uwi©ziony w klatce"
"[C:1:0:1]Drowsy","[C:1:0:1]Senny"
"brawler","awanturnik"
"Bypass greeting (new menu)","Pomi‰ powitanie (nowe menu)"
"I realized ","zdaàem sobie spraw© "
", replacing ",", zast©puj•c "
"Workers ignore wood","Pracownicy ignoruj• drewno"
" log"," kàoda"
" perpetrated "," popeàniony "
"often lowers ","cz©sto obniæa "
"We are besieged by a terrifying monster from the harshest wilderness.","Jesteòmy oblegani przez strasznego potwora z najdzikszej dziczy."
"I ate at a crowded table.","Zjadàem przy zatàoczonym stole."
" pushes"," popycha"
"I feel such sympathy!","Czuj© tak• sympati©!"
"River Source","çr¢dào rzeki"
" needs alcohol to get through the working day"," potrzebuje alkoholu by przebrn•Ü przez roboczy dzie‰"
"Monk","Mnich"
" in search of excitement"," w poszukiwaniu wraæe‰"
"began to skulk and brood","zacz•à si© czaiÜ i rozmyòlaÜ"
"No members","Brak czàonk¢w"
"is very polite and observes appropriate rules of decorum when possible","jest bardzo uprzejmy i w miar© moæliwoòci przestrzega odpowiednich zasad dobrego wychowania"
"disillusioned","rozczarowany"
"Regions","Regiony"
" due to "," z powodu "
"a tribute agreement","umowa o daninie"
" throughout "," przez caày czas "
"Disdains commerce","Gardzi handlem"
"st","szy"
"giving somebody food","dawanie komuò jedzenia"
"The musician can alter the pitch of ","Muzyk moæe zmieniaÜ wysokoòÜ d´wi©ku "
"Carve fortification","Wytnij fortyfikacj©"
" and the "," i "
"things...  certain things","rzeczy... konkretnych rzeczy"
"Stone/clay","Kamie‰/glina"
"Date: ","Data: "
"""Leave me.  I need... ","""Zostaw mnie. Potrzebuj©... "
"Rotten tissue excised from ","Wyci©to zgnià• tkank© z "
"All I see here is not enough.","Wszystko co tutaj widz© nie jest wystarczaj•ce."
"considers spending time alone much more important than associating with others","uwaæa, æe sp©dzanie czasu w samotnoòci jest waæniejsze niæ kontakty z innymi"
"Lover of ","Kochanek "
"stole treasure from","ukradà skarb z"
" masterfully dyed with "," mistrzowsko barwione za pomoc• "
", once of the Underworld.  ",", niegdyò z podziemi. "
", is it really you?",", to naprawd© ty?"
"[C:2:0:1]Spring","[C:2:0:1]Wiosna"
"I must let grief pass me by.","Musz© pozwoliÜ, by æal mnie omin•à."
"subdued","stonowany"
"regretful","peàen æalu"
"vengefulness","mòciwoòÜ"
"the color ","kolor "
"  Effective pressure to comply came from co-conspirators surrounding ","  Skuteczna presja, by si© podporz•dkowaÜ, pochodziàa od wsp¢àspiskowc¢w otaczaj•cych "
"A great beast threatens to bring ruin upon our people.","Wielka bestia grozi przyniesieniem ruiny naszym ludziom."
"State minor feeling of worry","Niewielkie uczucie niepokoju"
"A snow storm has come.","Nadeszàa burza ònieæna."
"striking a triumphant pose","staj•c w triumfalnej pozie"
"Grab Weapon","We´ Bro‰"
"feel agitated","czuÜ si© pobudzonym"
"Throwing tantrum","Napad zàoòci"
"gelder","æele´niak"
"would be lanky were it not for the massive muscles and slabs of lard","byàby mizerny, gdyby nie masywne mi©ònie i pàaty sadàa"
" refused an offer of peace from "," nie przyj•à oferty pokoju od "
"Site","Miejsce"
" natural aversion to the adversary's inherent association with "," naturalna niech©Ü do nieodà•cznego powi•zania przeciwnika z "
"finds those that engage in trade and commerce to be fairly disgusting","uwaæa, æe ci, kt¢rzy angaæuj• si© w handel i handel, s• doòÜ obrzydliwi"
"the departure of","odejòcie"
"Seriously injured","Powaænie zraniony"
"a shockingly profound feel for social relationships","szokuj•co gà©bokie wyczucie relacji spoàecznych"
"Temperate Brackish Pool","Umiarkowany Basen Sàonawy"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, high drainage, non-freezing areas.  ","Upewnij si©, æe parametry i ustawienia wst©pne mog• obsàugiwaÜ obszary o òredniej wysokoòci, niskich i òrednich opadach deszczu, wysokim drenaæu i niezamarzaniu. "
", where numbers indicate a refrain",", gdzie liczby oznaczaj• refren"
"Master","Mistrz"
"the distinction between motor and sensory nerves","rozr¢ænienie mi©dzy nerwami ruchowymi i czuciowymi"
" is surprised"," jest zaskoczony"
"in a circle","w okr©gu"
"Closed cases","Zamkn. sprawy"
"It is now summer.","Nadeszào lato."
"Food can be obtained in towns, from the environment, or by butchering corpses with a sharp object.  ","Poæywienie moæna zdobyÜ w miastach, ze òrodowiska naturalnego lub poprzez rozcinanie zwàok ostrym przedmiotem. "
"not distracted","nierozproszony"
"judge","s©dzia"
"parchment-producing ","produkcja pergaminu "
"be spirited","byÜ uduchowionym"
"Failed to install mod:","Nie udaào si© zainstalowaÜ moda:"
"to make a great discovery","dokonaÜ wielkiego odkrycia"
"Empty","Pusty"
"Battle","Bitwa"
"Nobles and administrators","Szlachta i Administratorzy"
"crystal glass paste","pasta ze szkàa krysztaàowego"
"This is your master.","To tw¢j mistrz"
" begins to stalk and brood..."," zaczyna przeòladowaÜ i zastanawiaÜ si©..."
"the belief of","wiara w"
" first"," pierwszy"
"These people carrying on about romance should be more practical.","Ci ludzie zajmuj•cy si© romansami powinni byÜ bardziej praktyczni."
"Gather fruit and vegetables from shrubs in this zone.","Zbieraj owoce i warzywa z krzak¢w w tej strefie."
"Block ","Blok "
"swamp","bagno"
"This creature dwells underground.","To stworzenie mieszka pod ziemi•."
"the surgical method of scraping","chirurgiczna metoda skrobania"
"unfavorable ","niekorzystny "
"Inveigh Against ","ChwyÜ za bro‰ przeciwko "
"the state of demands","stan wymaga‰"
"the Map","Mapa"
"Move the camera","Poruszaj kamer•"
"Dodge","Uchylenie"
"Pitches are densely packed in clusters as music moves from chord to chord.  ","D´wi©ki s• g©sto upakowane w klastry, gdy muzyka przechodzi od akordu do akordu. "
"medicine:method:fracture immobilization","medycyna:metoda:unieruchomienie zàamania"
"Visitor cap","Limit goòci"
"Siege Engineer","Inæynier machin"
"straight scar.  ","prosta blizna.  "
"Mountain: ","G¢ra: "
" was the "," byà "
"Randomize appearance","Losowy wygl•d"
"the Lever","d´wignia"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","UmieòÜ studni© w otwartej przestrzeni ponad wod•, aby zapewniÜ wzgl©dnie bezpieczny obszar, w kt¢rym obywatele mog• czerpaÜ wod©. Wymaga mechanizm¢w, blok¢w, àa‰cucha lub liny oraz wiadra."
"Ninth","Dziewi•ty"
"DOOR TAKEN BY INVADERS","DRZWI ZAJ®TE PRZEZ NAJEçDçC‡W "
"Designating items for melting","Przeznaczanie przedmiot¢w do stopienia"
"can assign and edit the routines your soldiers will follow. ","moæesz przypisywaÜ i edytowaÜ procedury, kt¢re twoi æoànierze b©d• stosowaÜ. "
"The thirst for knowledge some residents have can be satisfied at the [C:1:0:1]Library[C:7:0:0]. ","Gà¢d wiedzy cz©òci mieszka‰c¢w moæe byÜ zaspokojony w [C:1:0:1]Bibliotece[C:7:0:0]. "
"refugees calling themselves ","uchod´cy nazywaj•cy si© "
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].Nakàadaj•ce si© zàamanie (w trakcji)"
"soap maker","mydlarnia"
" was seen being stolen!"," zostaà zauwaæony jako skradziony!"
"beat somebody up","pobiÜ kogoò"
"Carpentry","Stolarstwo"
"Burial Chamber","Komora grobowa"
"Overall, ","Og¢lnie, "
"a armorsmith's shop","sklepie pàatnerza"
"Armorsmithing Workshop","Warsztat Pàatnerski "
"a large animal","duæe zwierz©"
"Already interviewed","Juæ przesàuchany"
"It has started raining.","Zacz©ào padaÜ."
"Will Tell","Powiem"
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","Ustaw polecenia zbierania. Niekt¢re roòliny wymagaj• obecnoòci owoc¢w lub innych plon¢w. "
"One must always carefully consider the correct course of action.","Zawsze naleæy dokàadnie rozwaæyÜ wàaòciwy spos¢b post©powania."
", but they had nothing left to give",", ale nie mieli juæ nic do zaoferowania"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","ByÜ moæe wci•æ tu s•, nie chc•c opuszczaÜ wspaniaàej fortecy, kt¢r• dla nich przygotowaàeò. "
"melted.","stopiony."
" a mesmerizing tale!"," hipnotyzuj•c• opowieòÜ!"
"stonecutter","kamieniarz"
" boxes"," pudeàka"
"Unnamed tomb","Nienazwany grobowiec"
"This is the butchering and crafting menu.","Oto menu dotycz•ce rozbioru i przygotowywania mi©sa."
"-line stanza","-linia zwrotki"
"death","òmierÜ"
" spin"," obr¢t"
"an empty population","pusta populacja"
"to smooth the operation of ","aby usprawniÜ dziaàanie "
"Seek Dressing Cloth","Szukaj Ubra‰"
"It's very interesting.","To bardzo interesuj•ce."
"a poor","biedny"
"finds eloquence and artful speech off-putting","uwaæa elokwencj© i kunsztown• mow© za odpychaj•ce"
"jutting-chin","wystaj•cy podbr¢dek"
"Camera controls","Ustawienia kamery"
"paper-slurry ","zawiesina papierowa "
"urging love between ","wzywaj•c do miàoòci mi©dzy "
"be used for burial.","uæyta do poch¢wku."
"screw ","òrubka "
"The dead!","Martwy!"
"boulder graphics","grafika skalista"
