"more presumptious","anmaáender"
"Prepare to guide your stout charges to fortune in a world fraught with many perils. ","Bereite dich darauf vor, deine tapferen Schtzlinge in einer Welt voller Gefahren zum Glck zu fhren. "
"groups","Gruppen"
"I was yelled at by an unhappy citizen.","Ich wurde von einem unglcklichen Brger angebrllt."
"high-voiced","stark ge„uáert"
"Others were too wary to make the journey.","Andere waren zu misstrauisch, um die Reise anzutreten."
"Acknowledge lack of joy","Erkenne Mangel an Freude an"
"is never moved by the emotions of others","wird nie von den Gefhlen anderer berhrt"
"be moderately loud","m„áig laut sein"
"Order listener to ","Personen bestellen bei "
"Loading work quotas...","Lade Arbeitsquoten..."
", rather than walking leisurely.""",", statt gemtlich zu gehen."""
"a murder","ein Mord"
"State minor feeling of vengefulness","Geringes Gefhl der Rachsucht angeben"
"Acknowledge lack of wonder","Fehlen von Staunen anerkennen"
"events","Ereignisse"
"You begin","Du beginnst"
"thrilled","begeistert"
"ash","Asche"
"a foiled corruption conspiracy","eine vereitelte Korruptionsverschw”rung"
"amber","Bernstein"
"being unable to find somebody to complain to about job scarcity","niemanden zu finden, bei dem man sich ber den Mangel an Arbeitspl„tzen beschweren kann"
"various civilized races peopled the world.","bev”lkerten verschiedene zivilisierte Rassen die Welt."
"Children.","Kinder."
"more wasteful","verschwenderischer"
"Investigate or interrogate (new menu)","Untersuchen oder befragen (neues Men)"
" from a period of no rule"," aus einem Zeitalter ohne Regeln"
" second"," als zweites"
"wait","warte"
"has a narrow, prominent","hat eine schmale, prominent"
"Click a creature to start a new conversation","Klicke auf eine Kreatur, um eine neue Unterhaltung zu beginnen"
"Furniture/siege ammo","M”bel/Belagerungsmunition"
"to bathe the world in chaos","die Welt in Chaos zu tauchen"
"Requests (Imports from ","Anfragen (Importe aus "
"  I wish I could tell you where to begin your search.  Until then, you are free to do as you please.","  Ich wnschte, ich k”nnte Ihnen sagen, wo Sie mit Ihrer Suche beginnen sollten. Bis dahin k”nnen Sie tun, was Sie wollen."
"[C:4:0:1].Overlapping fracture","[C:4:0:1].šberlappende Fraktur"
"Make Caves Visible","H”hlen sichtbar"
" has calmed down."," hat sich beruhigt."
"thinks it is of the utmost importance to present a bold face and never grouse, complain or even show emotion","h„lt es fr „uáerst wichtig, ein mutiges Gesicht zu zeigen und niemals zu meckern, sich zu beschweren oder gar Gefhle zu zeigen"
"Leave Wall","Mauer verlassen"
"Shake ","Schtteln "
"Associated","Angenommen"
"Avoid conflict today.","Vermeide heute Konflikte."
"Returning soldiers bring rumor(s)","Heimkehrende Soldaten bringen Gercht(e)"
"has a fairly deep and raspy voice","hat eine ziemlich tiefe und raue Stimme"
" bag is used by the musician to control the steady flow of air through the instrument.]"," Die Tasche wird vom Musiker benutzt, um den gleichm„áigen Luftstrom durch das Instrument zu kontrollieren]."
"You feel hot/cold","Du fhlst dich heiá/kalt"
"drinking without well","Trinken ohne Quelle"
"Assign a burrow defense order.  The soldiers will patrol the burrow and attack any hostile creatures.","Weisen Sie einen Befehl zur Verteidigung des Bereiches zu. Die Soldaten werden im Bereich patrouillieren und alle feindlichen Kreaturen angreifen."
"tanned","gegerbt"
"Mount ","Berg "
" terrified"," erschrocken"
" promised "," versprochen "
"Invaders can dig natural walls","Eindringlinge k”nnen natrliche Mauern durchgraben"
"No item to throw","Kein Gegenstand zum Werfen"
"being tormented in nightmares by a dead sibling","in Albtr„umen von einem toten Geschwisterkind gequ„lt zu werden"
"The guildhall petition by ","Die Gildenhallen-Petition von "
"Surgeon","Chirurg"
"burned away","weggebrannt"
"by invocation of True Name","durch Anrufung des Wahren Namens"
"You've caught a ","Du hast gefangen ein "
"Give me the bustle and noise over all that quiet!","Lieber Hektik und L„rm als all die Stille!"
"as a former slave of","als ehemaliger Sklave von"
"respects commerce","respektiert den Handel"
"feeling apathetic","apathisch sein"
"recruit","Rekrut"
" was imprisoned by"," wurde inhaftiert von"
"sees the attainment and preservation of knowledge as an offensive enterprise engaged in by arrogant fools","sieht in der Erlangung und Bewahrung von Wissen ein anst”áiges Unterfangen, das von arroganten Narren betrieben wird"
"bowls","Schsseln"
"is short and just incredibly fat","ist klein und einfach unglaublich fett"
"strand extractor","Faden-Extraktor"
"former master","ehemaliger Meister"
" is at war with us."," befindet sich im Krieg mit uns."
"is weak and extremely short","ist schwach und extrem klein"
"begins to stammer when ","beginnt zu stottern, wenn "
"addition of masterful rollers","Zugabe von meisterhaften Rollen"
"Welcome to Dwarf Fortress","Willkommen zu Dwarf Fortress"
" has brought back many tales from beyond "," hat viele Geschichten aus dem Jenseits mitgebracht "
"thoughtless","gedankenlos"
"Clothes Making","Kleiderherstellung"
"Mechanic","Mechaniker"
"clothes rot off of ","die Kleidung verrottet von "
"That's not right.","Das ist nicht richtig."
"Nothing to interact","Nichts zum Interagieren"
"Many are ","Viele sind "
"often feels lustful","fhlt sich oft lstern"
"forming a bond with an animal training partner","eine Bindung zu einem tierischen Trainingspartner aufbauen"
"Embark","Loslegen"
", animated by unknown forces",", beseelt von unbekannten Kr„ften"
"Uninterested in an owner","Uninteressiert an einem Besitzer"
"a year ago","vor einem Jahr"
"completed job","abgeschlossener Auftrag"
"Dictionary","W”rterbuch"
"woodcutter","Holzf„ller"
"I worship no one.","Ich verehre niemanden."
"does not easily fall in love and rarely develops positive sentiments","verliebt sich nicht leicht und entwickelt selten positive Gefhle"
"Trader","H„ndler"
"the search of ","die Suche nach "
"Preparing for the caravan","Vorbereitungen fr die Karawane"
"Your bookkeeper has done enough work to attain ","Ihr Buchhalter hat genug Arbeit geleistet, um "
"Crafting in the base game is limited to constructing a stone axe necessary to fell trees.  You can pick up few rocks and a tree branch to get started.  ","Das Handwerk im Basisspiel beschr„nkt sich auf die Herstellung einer Steinaxt, die zum F„llen von B„umen ben”tigt wird. Sie k”nnen ein paar Steine und einen Ast aufheben, um loszulegen. "
" was spotted sneaking around!"," wurde beim Herumschleichen gesichtet!"
"more of a loner","eher ein Einzelg„nger"
"Unassuming","Unscheinbar"
"Find embark location","Standort Suchen"
"Child is nobility","Kind ist adlig"
"light","Licht"
"Various seeds","Verschiedene Seeds"
"denting","verbeulend"
" the name "," der Name "
"Your exploits will be recorded for Legends mode and by the master engravers in subsequent fortresses in your world.","Deine Heldentaten werden fr den Legenden-Modus und von den Meistergraveuren in den folgenden Festungen deiner Welt aufgezeichnet."
"flat","flach"
"Feared as a villain","Gefrchtet als Schurke"
"Toggle whether the stockpile can take items from anywhere or only from specific workshops and stockpiles.","Schalten Sie um, ob das Vorratslager Objekte von berall oder nur von bestimmten Werkst„tten und Vorratslager aufnehmen kann."
"boiling clear glass","kochendes Klarglas"
"I accept this honor.","Ich akzeptiere diese Ehre."
" and it is mostly cut away from the rest of the torso!"," und es ist haupts„chlich vom Rest des Torso abgeschnitten!"
"Admiration","Bewunderung"
" own possessions"," eigenes Eigentum"
"rages","wtet"
"Announcements","Ankndigungen"
"meeting area zones, dining rooms and","Versammlungsbereich Zonen, Speises„le und"
" became "," wurde "
" is angry"," ist zornig"
"Remorseful","Gewissensbisse"
"Shearer","Scherer"
"Mid-","Mitte-"
" rope"," Seil"
"feel heavy","sich schwer fhlen"
"The army of ","Die Armee der "
"is very frail and incredibly long","ist sehr zerbrechlich und unglaublich lang"
"a robbery","ein Raubberfall"
"Slab engraved","Platte graviert"
"You know, I think you're right.","Weiát du, ich glaube, du hast Recht."
"Dismiss minor feeling of shock","Leichte Schockgefhle vernachl„ssigen"
"in order to glorify ","um zu verherrlichen "
" battles"," Schlachten"
"Masterwork","Meisterwerk"
"amused","amsiert"
"Unhappy citizens can act out and cause trouble, and fewer people will risk travel to a ","Unzufriedene Brgerinnen und Brger k”nnen sich aufspielen und rger machen, und weniger Menschen werden eine Reise in ein "
"wombat","Wombat"
"a divine being","ein g”ttliches Wesen"
"earth","Erde"
" and it is all thanks to "," und all das ist zu verdanken "
"is gigantic and quite fat","ist gigantisch und ziemlich dick"
"Gladiatory Games","Gladiatorspiele"
"Water wheels are 1x3 or 3x1.","Wasserr„der sind 1x3 oder 3x1."
" looks "," sieht "
"I see your low race still revels in death.  That poor, gentle creature...","Ich sehe, dass dein niedriges Volk immer noch den Tod feiert. Dieses arme, sanfte Gesch”pf..."
"Please help me to escape from this place.","Bitte helfen Sie mir, von diesem Ort zu entkommen."
"the Purchase","den Kauf"
"who","wer"
"the ghost of my sibling","der Geist meiner Geschwister"
" a friend"," ein Freund"
" specific move"," konkreter Schritt"
"mid-length phrases","mittellange Phrasen"
"Writing","Schreiben"
"a great dining room","ein groáartiges Speisezimmer"
"is thin, skinny and weak","ist dnn, abgemagert und schwach"
"announcement","Ankndingung"
"Machines/fluids","Maschinen/Flssigkeiten"
", but it means nothing now.",", aber es bedeutet jetzt nichts."
"More likely, your dwarves will starve, unless you read the first few guides here! ","Wahrscheinlicher ist, dass deine Zwerge verhungern, es sei denn, du liest die ersten paar Anleitungen hier! "
"grovel","Kriechen"
"Frequent","H„ufig"
"the mercenary operation","der S”ldnereinsatz"
"Comrade","Kamerad"
"Your dreams will come true.","Deine Tr„ume werden wahr."
"is quite mocking in tone","ist recht sp”ttisch im Ton"
"'s onslaught","Ansturm"
"State minor feeling of love","Zustand geringes Gefhl der Liebe"
"'s location","'s Standort"
"I'm very lonely.","Ich bin sehr einsam."
"State minor feeling of gloom","Geringes Gefhl der Niedergeschlagenheit"
" recitation of "," Vortrag von "
"has high cheekbones","hat hohe Wangenknochen"
"a noted flatterer","ein bekannter Schmeichler"
"Cirrus","hohe Federwolke"
"Nonsense","Bl”dsinn"
"the construction and use of the flask","Die Herstellung und Benutzung einer Flasche"
" Floor Grate"," Bodengitter"
"greedier","gieriger"
"a theft","ein Diebstahl"
"Resourcefulness","Einfallsreichtum"
"the enactment of a series of oppressive laws","die Verabschiedung einer Reihe von repressiven Gesetzen"
"ladies","Damen"
"profaned","entweiht"
"has a large body but is incredibly skinny","hat einen groáen K”rper, ist aber unglaublich dnn"
"is lanky and frail","ist schlaksig und gebrechlich"
" boldly, even if it would offend an average sense of modesty"," mutig zu sein, auch wenn es einen durchschnittlichen Sinn fr Bescheidenheit verletzen wrde"
"skip","berspringen"
"That's suspicious!","Das ist verd„chtig!"
"has an extremely broad body with lots of fat on it","hat einen extrem breiten K”rper mit viel Fett"
"Dirt Road","Feldweg"
"the causes of historical events","die Ursachen historischer Ereignisse"
"You are nauseated.","Dir ist bel."
"Give me a break.","Gib mir eine Pause."
"Cloth Workshop","Stoff Werkstatt"
"the taming of the ","die Z„hmung von "
"Engravers","Graveure"
"grieved","war betrbt"
" mounts "," Reittiere "
"Traits","Merkmale"
" to live a life of adventure"," ein Leben voller Abenteuer zu fhren"
"gets distracted from conversations easily when ","wird leicht von Gespr„chen abgelenkt, wenn "
" weapons"," Waffen"
" superiorly designed"," groáartig gestaltete"
"I'm not worried.","Ich bin nicht beunruhigt."
"great creativity","groáe Kreativit„t"
"gave food","gab Essen"
"a castle wall","eine Burgmauer"
"Some time spent in reflection is admirable, but you must not forget to live your life.","Es ist bewundernswert etwas Zeit in Selbsreflexion zu investieren, aber vergiss nicht dein Leben zu leben."
"the notion of bonds between members of a community","der Begriff der Bindungen zwischen den Mitgliedern einer Gemeinschaft"
"Here you can make parts for ballistae and catapults.  This workshop is also the place where ballista ammo is assembled.","Hier kannst du Teile fr Ballisten und Katapulte herstellen. In dieser Werkstatt wird auch die Ballistenmunition zusammengebaut."
"legendary bully","legend„rer Tyrann"
"has a small build and is very weak and incredibly skinny","hat einen kleinen K”rperbau und ist sehr schwach und unglaublich dnn"
"being rescued","gerettet werdend"
"Default attack is a wrestling move.","Standardangriff ist ein Ringkampf-Move."
"superior quality ","hohe Qualit„t "
"The victory was shared by ","Der Sieg wurde geteilt von "
"Acknowledge lack of bitterness","Erkenne einen Mangel an Bitterkeit an"
"extremely low","extrem niedrig"
"Verbally struggle against great dismay","Mit Worten gegen groáe Bestrzung ank„mpfen"
" talents and accomplishments"," Talente und Leistungen"
"dream","traum"
"item was favorite possession","Gegenstand war Lieblingsstck"
"You conclude your performance.","Du beendest deine Auffuehrung."
" told the story of "," erz„hlt die Geschichte von "
"trapped in cage","gefangen in einem K„fig"
"[C:1:0:1]Drowsy","[C:1:0:1]Schl„frig"
"brawler","Krawallmacher"
"Bypass greeting (new menu)","Begráung umleiten (neues Men)"
"history:sourcing:role of systemic bias","Geschichte: Beschaffung: Rolle der systemischen Verzerrung"
"I realized ","Ich erkannte "
", replacing ",", ersetzen "
" log"," Stamm"
" perpetrated "," verbt "
"often lowers ","reduziert h„ufig "
"We are besieged by a terrifying monster from the harshest wilderness.","Wir werden von einem furchterregenden Ungeheuer aus der rauesten Wildnis belagert."
"I ate at a crowded table.","Ich aá an einem berfllten Tisch."
" pushes"," drckt"
"I feel such sympathy!","Ich empfinde so viel Mitgefhl!"
"River Source","Fluss Quelle"
" needs alcohol to get through the working day"," braucht Alkohol, um den Arbeitstag zu berstehen"
"Monk","M”nch"
" in search of excitement"," auf der Suche nach Aufregung"
"began to skulk and brood","begann zu schleichen und zu grbeln"
"No members","Keine Mitglieder"
"is very polite and observes appropriate rules of decorum when possible","ist sehr h”flich und h„lt sich nach M”glichkeit an die entsprechenden Anstandsregeln"
"disillusioned","desillusioniert"
"Regions","Regionen"
" due to "," aufgrund von "
"a tribute agreement","ein Tributabkommen"
" throughout "," berall "
"Disdains commerce","Verachtet den Handel"
"st","erste"
"giving somebody food","jemandem Essen geben"
"The musician can alter the pitch of ","Der Musiker kann die Tonh”he von "
" and the "," und "
"things...  certain things","Dinge... bestimmte Dinge"
"Stone/clay","Stein/Lehm"
"Date: ","Datum: "
"""Leave me.  I need... ","""Lass mich allein. Ich brauche... "
"Rotten tissue excised from ","Verrottetes Gewebe, herausgeschnitten aus "
"considers spending time alone much more important than associating with others","h„lt es fr viel wichtiger, Zeit allein zu verbringen, als mit anderen zusammen zu sein"
"Lover of ","Liebhaber von "
"stole treasure from","stahlen Sch„tze von"
" masterfully dyed with "," meisterhaft gef„rbt mit "
", once of the Underworld.  ",", einmalig in der Unterwelt.  "
", is it really you?",", bist du es wirklich?"
" own wellbeing, having no interest in material goods"," eigenes Wohlergehen, kein Interesse an materiellen Gtern"
"[C:2:0:1]Spring","[C:2:0:1]Frhling"
"State feelings of great dislike","Gefhle groáer Abneigung bekunden"
"I must let grief pass me by.","Ich muss die Trauer hinter mir lassen."
"subdued","unterdrckt"
"regretful","Bedauern"
"vengefulness","R„tselhaftigkeit"
"tetrachord","Tetrachord"
"the color ","die Farbe "
"  Effective pressure to comply came from co-conspirators surrounding "," Wirksamer Druck zur Einhaltung der Vorschriften kam von Mitwissern aus dem Umfeld der Verschw”rer "
"A great beast threatens to bring ruin upon our people.","Eine groáe Bestie droht damit Verwstung ber unsere Leute zu bringen."
"State minor feeling of worry","Geringes Gefhl der Sorge angeben"
"A snow storm has come.","Ein Schneesturm ist gekommen."
"Classic varied ground tiles","Klassische, abwechslungsreiche Bodenkacheln"
"striking a triumphant pose","macht eine triumphale Pose"
"Grab Weapon","Waffen nehmen"
"feel agitated","aufgeregt sein"
"gelder","Kastrierer"
"would be lanky were it not for the massive muscles and slabs of lard","w„re schlaksig, w„ren da nicht die massiven Muskeln und die Speckplatten"
" refused an offer of peace from "," lehnte ab ein Angebot des Friedens von "
"Site","Platz"
" natural aversion to the adversary's inherent association with "," natrliche Abneigung gegen die Assoziation des Gegners mit "
"the departure of","die Abreise von"
"Seriously injured","Schwer verletzt"
"a shockingly profound feel for social relationships","ein schockierend tiefes Gespr fr soziale Beziehungen"
"Temperate Brackish Pool","gem„áigtes Brackwasserreservoir"
"Master","Meister"
" is surprised"," berrascht ist"
"in a circle","im Kreis"
"Closed cases","Fall erledigt"
"air","Luft"
"It is now summer.","Es ist jetzt Sommer."
"Food can be obtained in towns, from the environment, or by butchering corpses with a sharp object.  ","Food can be obtained in towns, from the environment, or by butchering corpses with a sharp object. "
"not distracted","nicht abgelenkt"
"judge","Richter"
"parchment-producing ","Pergament herstellen "
"be spirited","temperamentvoll sein"
"to make a great discovery","um eine groáe Entdeckung zu machen"
"Empty","Leere"
"Nobles and administrators","Adlige und Verwalter"
"crystal glass paste","Kristallglas-Paste"
"This is your master.","Das ist dein Meister"
" begins to stalk and brood..."," beginnt zu pirschen und zu grbeln..."
"the belief of","der Glaube an"
" first"," zuerst"
"These people carrying on about romance should be more practical.","Diese Leute, die von Romantik reden, sollten praktischer sein."
"Block ","Brocken "
"swamp","Sumpf"
"This creature dwells underground.","Diese Kreatur wohnt im Untergrund"
"unfavorable ","ungnstig "
"Inveigh Against ","Anprangern gegen "
"the state of demands","der Stand der Forderungen"
"Move the camera","Bewege die Kamera"
"Dodge","Ausweichen"
"Pitches are densely packed in clusters as music moves from chord to chord.  ","Die Tonh”hen sind dicht gepackt in Clustern, wenn die Musik von Akkord zu Akkord geht. "
"Visitor cap","Besucherobergrenze"
"Siege Engineer","Belagerungsingenieur"
"straight scar.  ","gerade Narbe.  "
"Randomize appearance","Aussehen zuf„llig generieren"
"Place the well in an open space above water to provide a relatively safe area for your citizens to draw water.  Requires mechanisms, blocks, a chain or rope, and a bucket.","Platziere den Brunnen an einem offenen Ort ber dem Wasser, um die Brger einen relativ sicheren Bereich zum Wassersch”pfen zu bieten. Erfordert Mechanismen, Quader, eine Kette oder ein Seil und einen Eimer."
"Ninth","Neunte"
"DOOR TAKEN BY INVADERS","TUER VON INVASOREN KONTROLLIERT"
"Designating items for melting","Gegenst„nde zum Schmelzen ausw„hlen"
"refugees calling themselves ","Flchlinge mit der Selbstbezeichnung "
"[C:6:0:0].Overlapping fracture (in traction)","[C:6:0:0].šberlappende Fraktur (in Traktion)"
"soap maker","Seifenhersteller"
"Say something about your family","Erz„hlen Sie etwas ber Ihre Familie"
"  A foolhardy soul might try to rescue the ","   Ein tollkhner Mensch k”nnte versuchen, die "
" was seen being stolen!"," wurde bei einem Diebstahl beobachtet!"
"beat somebody up","jemanden zusammenschlagen"
"Carpentry","Zimmerei"
"Burial Chamber","Grabkammer"
"Overall, ","Insgesamt, "
"a armorsmith's shop","eine Rstungsschmiede"
"Armorsmithing Workshop","Rstungsherstellungs Werkstatt"
"a large animal","ein groáes Tier"
"Already interviewed","Bereits befragt"
"It has started raining.","Es hat zu regnen begonnen."
"Set plant gathering orders.  Some plants require fruit or other growths to be present.","Legen Sie Auftr„ge zum Sammeln von Pflanzen fest. Bei einigen Pflanzen mssen Frchte oder andere Gew„chse vorhanden sein."
"One must always carefully consider the correct course of action.","Man muss immer sorgf„ltig abw„gen, was die richtige Vorgehensweise ist."
", but they had nothing left to give",", aber sie hatten nichts mehr zu geben"
"Perhaps they are all still here, unwilling to leave the magnificent fortress you prepared for them. ","Vielleicht sind sie alle noch hier und wollen die pr„chtige Festung, die du fr sie errichtet hast, nicht verlassen. "
"melted.","geschmolzen."
" a mesmerizing tale!"," eine faszinierende Geschichte!"
"stonecutter","Steinhauer"
"A ballista's orientation cannot be changed","Die Ausrichtung einer Balliste kann nicht ge„ndert werden."
"Affects trap detection, ambusher detection, charge defense, and provides enemy attack information.","Beeinflusst Fallen entdecken, Hinterhalt entdecken, Ansturm Verteidigung  und wie viele Informationen von feindlichen Angriffen erkennbar sind."
" boxes"," Kisten"
"Unnamed tomb","Unbenanntes Grabmal"
"This is the butchering and crafting menu.","Dies ist das Schlachter- und Handwerksmen."
"death","Tod"
" spin"," dreht"
"an empty population","eine leere Bev”lkerung"
"to smooth the operation of ","den reibungslosen Betrieb von "
"Seek Dressing Cloth","Suche Verbandstuch"
"It's very interesting.","Das ist sehr interessant."
"a poor","eine schlechte"
" and it is controlled by "," und es wird kontrolliert von "
"jutting-chin","herausragendes Kinn"
"paper-slurry ","Papierschlamm "
"urging love between ","die Liebe zwischen "
"be used for burial.","fuer Bestattung benutzt werden kann."
"screw ","Schraube "
"The dead!","Der Tod!"
"Buried alive","Lebendig begraben"
"Unmet need: ","Bedarf: "
"Only farmers harvest","Nur Bauern drfen ernten"
"molten crystal glass","geschmolzenes Kristallglas"
"speaks in a monotone when ","spricht in einem monotonen Tonfall, wenn "
"infiltrate society","Gesellschaft infiltrieren"
"High Precision","Hohe Pr„zision"
"the reproductive behavior of creatures","das Fortpflanzungsverhalten von Kreaturen"
"spear","Speer"
"Loading image sets...","Bilds„tze laden..."
"Workers save shells","Arbeiter retten Schalen"
"when full","wenn voll"
" was the place to perform research."," war der Ort, an dem Forschung betrieben wurde."
"yield","ergeben"
"Bowyer","Bogenschtze"
"Take me away from here.","Bring mich weg von hier."
"outside","Drauáen"
"kill ","t”ten "
"legendary villain","legend„rer Schurke"
"Tropical Shrubland","tropisches Buschland"
"the acceptance","die Akzeptanz"
"The story of ","Die Geschichte von "
"You feel uneasy.","Du fhlst dich unwohl."
" which was said to permeate "," die angeblich durchdringt "
" with the presentation of "," durch die Pr„sentation von "
"State that you hate light poems","Erkl„ren Sie, dass Sie Lichtgedichte hassen"
"Yes!  It'll be great to perform with you.","Ja! Es w„re groáartig mit euch aufzufhren."
"is very muscular and incredibly long","ist sehr muskul”s und unglaublich lang"
"Dungeon Commander","Kerkermeister"
" a friend."," ein Freund."
"after communing with ","nach Rcksprache mit "
"Acknowledge lack of grouchiness","Fehlen von Miesepetrigkeit anerkennen"
"What stories you tell!  It's such an honor to have you here.","Welche Geschichten erz„hlst du!  Es ist eine Ehre, dich hier zu haben."
"investigate","Untersuchen Sie"
" available"," verfgbar"
"Open","™ffnen"
"gives a feeling of compassion here and there","gibt hier und da ein Gefhl des Mitleids"
"yarn ","Garn "
"A wrestling competition","Ein Ring-Wettkampf"
"The instrument has flue pipes and reed pipes.  ","Das Instrument hat Rauchrohre und Zungenpfeifen. "
"sad","traurig"
"tax","Steuer"
"I was in a snow storm.","Ich war in einem Schneesturm."
"State feelings, somewhat expectant","Gefhlslage, etwas erwartungsvoll"
" property was confiscated"," Eigentum wurde beschlagnahmt"
"Geld ","Kastrieren "
"Somebody up to no good...","Jemand fr nichts Gutes im Schilde..."
"You unyield","Du gibst nicht nach"
"It is still shrouded in mystery.  ","Es ist immer noch geheimnisvoll. "
"worship","Anbetung"
"I brought up the lack of jobs in a meeting.","Ich brachte den Mangel an Arbeitspl„tzen zur Sprache."
"Crossbowman","Armbrustschuetze"
"prefers to present ","bevorzugt die pr„sentation "
" been stunned again!"," wieder fassungslos gewesen!"
"Activity section change","nderung im Aktivit„tsabschnitt"
"Cage Vermin","K„fig Ungeziefer"
"I killed somebody in a sparring accident.","Ich habe jemanden bei einem Sparring-Unfall get”tet."
"I have been so wronged!","Mir ist so viel Unrecht geschehen!"
"has a long, thin body with very little fat","hat einen langen, dnnen K”rper mit sehr wenig Fett"
"Austere","Streng"
" fighting with "," im Kampf mit "
"It is a","Es ist ein"
"iguana","Leguan"
"the area around ","das Gebiet um "
"has a short, broad body with very little fat","hat einen kurzen, breiten K”rper mit sehr wenig Fett"
"mottled ","gesprenkelt "
"autobiography","Autobiographie"
"(Wrestling) Cannot break grip","(Ringkampf) Kann den Griff nicht l”sen"
"Choose Y: ","W„hle Y: "
"Here you can interact with the objects you are carrying.  Items can be dropped, worn, eaten, thrown, named, etc.  The icon tooltips describe your options for each item.  ","Hier kannst du mit den Gegenst„nden interagieren, die du bei dir tr„gst. Gegenst„nde k”nnen fallen gelassen, getragen, gegessen, geworfen, benannt werden usw. Die Symbol-Tooltips beschreiben deine Optionen fr jeden Gegenstand. "
"believes that those that take leisure time are evil and finds the whole idea disgusting","ist der Meinung, dass diejenigen, die sich Freizeit nehmen, b”se sind, und findet die ganze Idee ekelhaft"
"2 lost after mutual wounds","2 verloren nach gegenseitigen Verletzungen"
"Outraged","Emp”rt"
"Perfectionist","Perfektionist"
