"more presumptious","pli bravaæa"
"recruit","rekruto"
"bowls","bovloj"
"strand extractor","ekstraktisto de fibroj"
" is at war with us."," estas en milito kun ni."
"the Rising of the Moon","la Leviøo de la Luno"
"is weak and extremely short","estas malforta kaj ege mallonga"
"addition of masterful rollers","aligo de majstrajn rulilojn"
"Welcome to Dwarf Fortress","Bonvenon al Dwarf Fortress"
"Grab Milk Unit","Preni Unuon por Melkado"
" has brought back many tales from beyond "," revenigis multajn fabelojn de malproksime "
"thoughtless","senpripensa"
"Clothes Making","Vestofarado"
"Mechanic","Me¶anikisto"
"clothes rot off of ","vesta¼ojn putri el "
"That's not right.","Tio ne estas prava."
"often feels lustful","ofte sentas sin voluptema"
"forming a bond with an animal training partner","kunligi kun dres-kunulo"
"Embark","Ekloøi"
"No match.","Neniu kongruo."
"a year ago","antaý unu jaro"
"completed job","plenumita tasko"
"SAVAGERY REJECTION","MALAKCEPTO SOVAØECON"
"Dictionary","Vortaro"
"woodcutter","arbohakisto"
"I worship no one.","Mi adoras neniun."
"does not easily fall in love and rarely develops positive sentiments","ne facile enamiøas kaj malofte disvolvas pozitivajn sentojn"
"Trader","Komercisto"
"the search of ","la trovo de "
"more of a loner","pli malsocietema"
"Find embark location","Trovi lokon por ekloøi"
"light","lumo"
"Various seeds","Pluraj stokastosemoj"
" Downward Track (NE)"," Malsupren Trako (No-Or)"
"denting","stampigante"
"Initial forest square count fails by ","Komenca kalkulo de arbaraj æeloj malsukcesis je "
"flat","plata"
"The desired pitch is selected using a ","La dezirata piæo estas elektita per "
"boiling clear glass","bolanta klara vitro"
"I accept this honor.","Mi akceptas æi tiun honoron."
"the method of writing the history of a single individual","la metodo de skribado historion de unua individuo"
" and it is mostly cut away from the rest of the torso!"," kaj øi estas plejparte for de la resto de la torso!"
"No heavy attack: enraged","Neniu peza atako: furioza"
" own possessions"," j propraj hava¼oj"
"rages","furiozas"
" became "," iøis "
"Shearer","Lantondisto"
"Mid-","Mez-"
" rope"," þnuro"
"feel heavy","senti peza"
"Slab engraved","Slabo gravurita"
"You know, I think you're right.","Vi scias, mi pensas ke vi pravas."
" battles"," batalo"
"Masterwork","æefverko"
"amused","amuzatan"
"8 x 8","8 x 8"
"You need a free grasp to climb.","Vi bezonas liberan manon por grimpado."
"wombat","vombato"
"a divine being","dia esta¼o"
"earth","tero"
"specialized surgical instruments","fakaj ¶irurgiaj instrumentoj"
" looks "," aspektas "
" Upward Track (NS)"," Supren Trako (No-Su)"
"the ghost of my sibling","la fantomo de mia gefrato"
" a friend"," unu amiko"
" specific move"," specifa movo"
"the classification of toxic substances","la klasifikado de venenoj"
"Writing","Skribo"
"a great dining room","bonega manøoæambro"
"announcement","sciigo"
"Machines/fluids","Maþinoj/flua¼oj"
", but it means nothing now.",", sed øi nun signifas nenion."
"More likely, your dwarves will starve, unless you read the first few guides here! ","Pli verþajne, viaj dvarfoj malsatos, krom se vi ne legos la unuaj gvidiloj tie æi! "
"Frequent","Ofta"
"Comrade","Kamarado"
"geography:form:atlas","geografio:formo:maparo"
"I'm very lonely.","Mi estas tre sola."
"active performance poem reciter","aktiva prezentista poema deklamisto"
" recitation of "," deklamado de "
"philosophy:specialized:politics social welfare","filozofio:faka:politiko socia bonfaro"
"a noted flatterer","fifama flatanto"
"Mandate period (more = fewer)","Mandat-periodo (pli = pli malmultaj)"
"Nonsense","Sensenco"
"mathematics:geometry:pythagorean triples small","matematiko:geometrio:pitagoraj triopoj malgrandaj"
"the construction and use of the flask","la produktado kaj la uzado de la balono"
" Floor Grate"," Plankokrado"
"greedier","pli avida"
"Resourcefulness","Inventemo"
"the enactment of a series of oppressive laws","la promulgado de serio de subpremaj leøoj"
"medicine:theory:disease classification","medicino:teorio:klasifiko de malsanoj"
"ladies","lordinoj"
"profaned","malsanktigita"
" boldly, even if it would offend an average sense of modesty"," n aýdace, eæ se øi ofendus averaøan senton de modesteco"
"That's suspicious!","Tio estas suspektinda"
"has an extremely broad body with lots of fat on it","havas ege larøan korpon kun multe da graso sur øi"
"Dirt Road","Grunda Vojo"
"the causes of historical events","la kaýzoj de historiaj eventoj"
"Give me a break.","Donu al mi paýzon."
"Cloth Workshop","Metiejo de Þtofo"
"the taming of the ","la aldomigado de "
"Engravers","Gravuristoj"
"grieved","funebris"
" partially free of the web."," parte libera je la aranea¼o."
"Traits","Trajtoj"
" weapons"," armiloj"
"Move keyboard cursor down (z)","Movi klavar-kursoron malsupren (z)"
"I'm not worried.","Mi ne estas koncerna."
"great creativity","bonegan kreivon"
"Some time spent in reflection is admirable, but you must not forget to live your life.","Iom da tempo pasigita en pripensado estas admirinda, sed ne forgesu travivi vian vivon."
"Pike","Pikstango"
"being rescued","esti savita"
"superior quality ","supera kvalito "
"being forced to endure the decay of an acquaintance","esti trudita elteni la putradon de konato"
"Acknowledge lack of bitterness","Agnoski mankon de amaro"
"extremely low","ege malalta"
" because you are swimming."," æar vi estas naøanta."
" talents and accomplishments"," j talentoj kaj atingoj"
"dream","sonøi"
"You conclude your performance.","Vi finas vian prezentadon."
" told the story of "," rakontis la hostorion pri "
"trapped in cage","kaptita en kaøo"
"[C:1:0:1]Drowsy","[C:1:0:1]Dormema"
"brawler","batalema"
"history:sourcing:role of systemic bias","historio:fonto:rolo de sistema biaso"
" perpetrated "," fi-okazigis "
"I ate at a crowded table.","Mi manøis æe personplena tablo."
"I feel such sympathy!","Mi sentas tian simpation!"
"River Source","Riverfonto"
" needs alcohol to get through the working day"," bezonas alkoholon por trapasi la labortagon"
"Monk","mona¶o"
" in search of excitement"," seræante eksciton"
"is very polite and observes appropriate rules of decorum when possible","estas tre øentila kaj observas taýgajn regulojn pri deco kiam eble"
"disillusioned","disiluziiøintan"
"Regions","Regionoj"
" throughout "," tra la tuta "
"Disdains commerce","Malestimas komercon"
"st","a"
"giving somebody food","doni al iu manøa¼on"
"The musician can alter the pitch of ","La muzikisto povas þanøigi la piæon de "
" and the "," kaj la "
"Stone/clay","Þtono/argilo"
"Date: ","Dato: "
"Rotten tissue excised from ","Putrita histo detranæita el "
"considers spending time alone much more important than associating with others","konsideras, ke pasigi tempon sole estas multe pli grave ol asocii kun aliaj"
"stole treasure from","þtelis trezoron de"
" masterfully dyed with "," majstre tinkturita per "
", is it really you?",", æu estas vere vi?"
" own wellbeing, having no interest in material goods"," n propran bonfarton, havante neniun intereson pri materialaj varoj"
"[C:2:0:1]Spring","[C:2:0:1]Printempo"
"I must let grief pass me by.","Mi devas lasi funebron foriøi el mi."
"regretful","bedaýrintan"
"vengefulness","venøemo"
"the color ","la koloro "
"striking a triumphant pose","frapante triumfan pozon"
"Grab Weapon","Preni Armilon"
"feel agitated","senti agitita"
"gelder","kastristo"
"Site","loøloko"
"Seriously injured","Grave vundita"
"a shockingly profound feel for social relationships","tro profundan senson de sociaj rilatoj"
"Temperate Brackish Pool","Mezvarma Saleta Lageto"
"Make sure your parameters and presets can support mid-elevation, low-to-mid rainfall, high drainage, non-freezing areas.  ","Certiøu, æu viaj parametroj kaj antaýagordoj povas apogi areojn, nefrostajn, de mezaltaj altitudoj, de mal- øis mezaltaj precipita¼oj, kaj de altaj drenadoj. "
"Master","Mastro"
"the distinction between motor and sensory nerves","la distingo inter motoraj kaj sentaj nervoj"
"in a circle","en rondo"
"It is now summer.","Nun estas somero."
"judge","juøisto"
"parchment-producing ","pergameno-farado "
"be spirited","esti sprita"
"Empty","Malplena"
"crystal glass paste","pasto el kristala vitro"
"This is your master.","Æi tiu estas via majstro."
"These people carrying on about romance should be more practical.","Æi tiuj homoj paroladantaj pri enamiøo estu pli praktikaj."
"swamp","arbomaræo"
"This creature dwells underground.","Æi tiu esta¼o loøas subtere."
"the surgical method of scraping","la ¶irurgia metodo de skrapado"
"unfavorable ","malhelpa "
"Inveigh Against ","Kontraýstaras kontraý "
"the state of demands","la stato de postuloj"
"the Map","la Mapo"
"Move the camera","Movigu la kameraon"
"Dodge","Eviti"
"Pitches are densely packed in clusters as music moves from chord to chord.  ","Piæoj estas densiøitaj aroj kiel muziko moviøas el akordo al akordo. "
"medicine:method:fracture immobilization","medicino:metodo:senmovigado de frakturo"
"Visitor cap","Limo de vizitantoj"
"Siege Engineer","Inøeniero de Sieøo"
"Mountain: ","Monto: "
"the Lever","la Levilo"
"Ninth","Naýa"
"DOOR TAKEN BY INVADERS","PORDO PRENITA DE INVADULOJ"
"soap maker","sapfaristo"
"beat somebody up","batis iun"
"Carpentry","Æarpentado"
"Overall, ","Entute, "
"a armorsmith's shop","arma¼forøista butiko"
"Armorsmithing Workshop","Metiejo de Arma¼forøado"
"One must always carefully consider the correct course of action.","Oni æiam devas zorge pripensi la øustan agmanieron."
"melted.","fandiøis."
"history:sourcing:role of state bias and propaganda","historio:fonto:rolo de la þtata biaso kaj la propagando"
" a mesmerizing tale!"," okulfrapa fabelo!"
"stonecutter","þtonfacetisto"
" boxes"," ujoj"
"-line stanza","versa strofo"
"death","morto"
"an empty population","malplena loøantaro"
"Seek Dressing Cloth","Seræi Veston"
"It's very interesting.","Øi estas tre interesa."
"a poor","malriæa"
"jutting-chin","klar-mentona"
"screw ","þraýbo "
"The dead!","La mortintoj!"
"the method of compiling several biographies to compare and contrast the subjects' character and to gain insight into history","la metodo de kompili plurajn biografiojn, por kompari kaj kontrastigi la karakterojn de la subjektoj, kaj gajni komprenon pri historio"
"Unmet need: ","Bezonas: "
"molten crystal glass","fandita kristala vitro"
"Resets","Renuligas"
"the classification of disease","la klasifikado de malsanoj"
"spear","lanco"
"Loading image sets...","Þargante bildajn arojn..."
"Value of temple complex","Valoro de templokomplekso"
" was the place to perform research."," estis la loko fari esploradon."
"Bowyer","Arbalestofaristo"
"outside","ekstera"
"Tropical Shrubland","Tropika Arbustaroj"
", Pressed",", Premita"
"State that you hate light poems","Deklari, vi malamas malpezajn poemojn"
"Yes!  It'll be great to perform with you.","Jes! Interpreti kun vi estos bonege!"
" a friend."," amiko."
"Acknowledge lack of grouchiness","Agnoski mankon de incitiøemo"
"What stories you tell!  It's such an honor to have you here.","Kiajn rakontojn vi rakontas!  Tia honoro estas havi vin æi tie."
" available"," havebla"
"Open","malfermita"
"yarn ","lanfibra "
"Analogy","Analogio"
"A wrestling competition","Lukta konkurso"
"The instrument has flue pipes and reed pipes.  ","La instrumento havas lip- kaj anæofajfilojn kun anæoj batantajn. "
"Make sure your parameters and presets can support mid-elevation, very low rainfall, non-freezing areas.  ","Certiøu, æu viaj parametroj kaj antaýagordoj povas apogi areojn nefrostajn, de mezaltaj altitudoj kaj de tre malaltaj precipita¼oj. "
"I was in a snow storm.","Mi estis en neøoþturmo."
"Geld ","Kastri "
"Somebody up to no good...","Iu estas intrigante..."
"medicine:method:surgery incision","medicino:metodo:¶irurgia tranæado"
"worship","kulto"
"I brought up the lack of jobs in a meeting.","Mi menciis la mankon de laboroj en kunveno."
"Crossbowman","Arbalestisto"
"prefers to present ","preferas prezenti "
" been stunned again!"," estas duone svenigita ree!"
"Cage Vermin","Enkaøi Fibeston"
"I killed somebody in a sparring accident.","Mi mortigis iun dum ekzerc-lukta akcidento."
"I have been so wronged!","Mi estis tiel malrespektita!"
"Austere","Aýstera"
" fighting with "," interbatalante kun "
" (quantitative "," (kvanteca "
"iguana","igvano"
"the area around ","la areo æirkaý "
"Balancing","Balancado"
"autobiography","aýtobiografio"
"Choose Y: ","Elektu Y: "
"the use of a grid system in the creation of maps","la uzado de referenckadro en la kreo de mapoj"
"2 lost after mutual wounds","2 perditaj post reciprokaj vundoj"
"Perfectionist","Perfektisto"
"Acknowledge lack of amusement","Agnoski mankon de amuzo"
"Cannot generate random creatures -- missing body ","Ne povas generi aleatorajn esta¼ojn - nehavante korpon "
" is written from the perspective of "," estas skribita laý la vidpunkto de "
"Lever Operation","Operacio de Levilo"
"You must have at least as many of these highest volcanism points as you are requiring volcanos.  ","Vi devas havi almenaý tiom da el æi tiuj plej altaj vulkanismaj punktoj kiom vi postulus vulkanoj. "
"Site Government","Regado de la Situo"
"less assertive","malpli ordonema"
"It was great.","Øi estis bonega."
" part of the problem."," parto de la problemo."
"fragile","malfortika"
"dining hall","manøejo"
"No orders","Neniu ordono"
"the computation of the volume of different pyramids","la komputado de la volumeno de malsamaj piramidoj"
"right here","æi tie"
"Storage path decrease (barrel combine)","Mallongigo de teneja vojo (barela kombino)"
"a noted murderer","fifama murdinto"
" Ice Floor"," Glaca Planko"
"Close friend","Kara amiko"
"Just think about it.","¬us pensu pri øi."
" Upward Track (SEW)"," Supren Trako (Su-Or-Ok)"
"losing ","perdante "
"short","mallonga"
"a pretty decent meal","tre decan manøon"
"be jumpy","esti saltema"
"time","tempo"
"Glowing Floor","Brila Planko"
"State minor feeling of acceptance","Deklari malgrandan senton de akcepto"
"jewels","juveloj"
"Z Levels Above Ground","Z-aj Niveloj Super la Grundo"
"Sand Collection","Sablokolektado"
"fighting!","interbatalas!"
"Loading flow guides...","Þargante gividilojn de fluo..."
"How fleeting life is...","Kiel pasema estas vivo..."
"There are not enough cages and chains.","Ne ekzistas sufiæaj kaøoj nek katenoj."
"played","ludis"
"livestock ownership","brutposedado"
"Fell into a deep chasm","Falis en profunda abismon"
"certain lines ","certaj versoj "
"blissful","feliæega"
"feels helping others is an imposition on ","sentas, ke helpi aliajn estas altrudo al "
"fortresses","fortresoj"
"Highest known in organization","Plej alta konata en organiza¼o"
"State feelings of great agitation","Deklari sentojn de granda agitado"
"Minor River: ","Rivereto: "
"that a criminal could not be properly punished","æar krimulo ne povus esti øuste punita"
"New parameter set","Nova parametraro"
"not having any rooms","ne havante ajn æambrojn"
"nasal","naza"
"mathematics:notation:early symbols for operations","matematiko:skribado:fruaj simboloj de operacioj"
"Sixth","Sesa"
"I conducted an official meeting in a bedroom.","Mi kondukis oficialan kunvenon en dormoæambro."
"thick","dika"
"Shield User","Uzanto de Þildo"
"right kicks","dekstraj piedbatoj"
" has given birth to "," naskis "
"That's wrong.","Tio estas malprava."
" couldn't be much worse."," ne povus esti multe pli malbona."
"Dead Grass Upward Slope","Supren Deklivo de Mortinta Herbo"
"Deity","Dio"
" accepts our tribute"," akceptas nian omaøon"
" by a dead sibling"," de mortinta gefrato"
"You do not have a free grasp.","Vi ne havas liberan manon."
"Ice Upward Track (NE)","Glaca Supren Trako (No-Or)"
"I am very hopeful.","Mi estas tre esperplena."
"Tropical Moist Broadleaf Forest","Tropika Humida Foliarbaro"
"Slate","Ardezo"
"is quite polite","estas tre øentila"
"This is your deceased spouse.","Æi tiu estas via mortinta geedzo."
"Grab Ammunition for Building","Preni Municion el Konstrua¼o"
"Critical Thinker","Kritika Pensisto"
"philosophy:epistemology:justification","filozofio:sciteorio:pravigo"
"-Trained-","-Dresita-"
"Persecution of ","Persekuto de "
"feeling alienated","sentanta fremdiøon"
"west","Ok"
"items","a¼o"
"Scraping","Skrapado"
"feeling servile","servilan"
"This creature can be found in ","Æi tiu esta¼o povas esti trovita en "
"the acquisition of a copy of ","la akiro de kopio de "
" justly slew "," juste mortigis "
"You failed to compose anything.","Vi malsukcesis komponi ion ajn."
"I don't have enough armor stands.","Mi ne havas sufiæajn rakojn por arma¼o."
"a very good","tre bona"
"the fighting","la batalantan"
"a sum of patience","iom da pacienco"
"Method","Metodo"
"Ice Track (S)","Glaca Trako (Su)"
"claimed artifact given away","pretendis artefakton fordonitan"
"metalcrafter","metalmetiisto"
"no","ne"
"philosophy:metaphysics:causation","filozofio:metafiziko:kaýzeco"
"Attempted to set world gen presets prior to dimensions","Provis akomodi mondogenerilajn antaýagordojn antaý dimensioj "
"Pressure Plate","Premsentema Plato"
"For lyrics, the composer has selected ","Por kantoteksto, la komponisto elektis "
"State that listener had a good hunt","Deklari, ke la aýskultanto faris bonan æason"
"Armor User","Uzanto de Arma¼o"
"somewhere","ie"
"Good with language","Lertas pri lingvo"
" currency of "," valuto de "
"to make a counter-assertion","fari kontraýaserton"
" in war if the latter did likewise."," en milito, se æi-lasta farus same."
" skill: "," kapablo: "
"a skilled bard","lerta bardo"
"passing through a hole in the ","pasante tra truo en la "
"The battle rages...","La batalo furiozas..."
"Research","Esplori"
"position","lokiøo"
"a piece","arta¼o"
" doesn't really care about anything anymore.  "," ja ne plu zorgas pri ion ajn. "
"Temperate","Modera"
"by pressing valves to route air through different tube","premante valvojn por konduki aeron tra malsama tubo"
"Ice Downward Track (NE)","Glaca Malsupren Trako (No-Or)"
"Ahhhhhhh!  No!","Hooooooo! Ne!"
"Can the elevation 400 be placed enough times to provide space for your peaks?  ","Æu la altitudo 400 povas esti metita sufiæe da fojoj por provizi spacon por viaj pintoj? "
" received"," ricevis"
"contemplating ","kontemplante "
" ended the days of "," finigis la tagojn de "
" console"," konzolo"
"Making Maps","Fari Mapojn"
"Furnace","Forno"
"Smelt ","Elfandi "
"laughing","ridanta"
"dislikes abstract discussions and would much rather focus on practical examples","malþatas diskutojn abstraktajn kaj multe preferus sin koncentri sur ekzemploj praktikaj"
"blocks... bricks...","blokojn... brikojn..."
"distillation","distilado"
"Rebuilding more temporary information...","Remuntante pli laboran informon..."
" chops"," pecoj"
"Station","Posteno"
"many nerves","multaj nervoj"
"Acknowledge lack of euphoria","Agnoski mankon de eýforio"
"State feelings of aggravation","Deklari sentojn de agaco"
"Former slave","Ekssklavo"
"military ethics","milita etiko"
" couplet"," duversa strofo"
"chefs","æefkuiristoj"
"specific shield","specifa þildo"
"Is that a weapon?","Æu øi estas armilo?"
"I cannot find hope.","Mi ne povas trovi esperon."
"desert","dezerto"
"Audio has been manually disabled.","Aýdio estis malebligita permane."
"ambush of","embuskado de"
"You can be powerful or powerless.  The choice is yours, until somebody makes it for you.","Vi povas esti potenca aý senpotenca. La elekto estas via, øis iu faras øin por vi."
"geography:surveying:staff","geografio:termezurado:vergo"
"Inquire about listener's profession","Demandi pri profesio de aýskultanto"
"I am not feeling sad right now.","Mi ne sentas triston nunnune."
"discourse on the nature of beauty","diserta¼o pri la naturo de la belo"
"Blacksmithing","Øenerala Forøado"
"The whole idea of loyalty is pointless.  Acting purely out of loyalty implies acting against one's own best interest.","La tuta ideo pri lojaleco estas sensenca. Agi pure el lojaleco implicas agi kontraý la propra plej bona intereso."
"were","estis"
"North and/or South","Norda kaj/aý Suda"
"The group","La grupo"
"an iffy memory","malcertan memoron"
" go to "," iri al "
"the Body","la Korpo"
"elemental materials","elementaj materialoj"
"Joyous Wilds","Øojaj Sovaøejoj"
"Trade Information:","Komerca Informo:"
"have similar grammatical structures","havi similajn gramatikajn strukturojn"
"goods","hava¼oj"
"non-artifact ","ne-artefara¼o "
"Ice Upward Stairway","Glaca Supren Þtuparejo"
"Probably on the move or deep underground, but I can't be sure.","Probable sur la movo aý profunda subterejo, sed mi ne povas esti certa."
"salt","salo"
"I'm elated.","Mi estas øoja."
"been claimed by","estis pretendita de"
"High social awareness","Alta socia konscio"
"Craft object","Fari a¼on"
"animal trainer","dresisto"
"law-breaking","rompadon de leøo"
"I love riddles.","Mi amas la enigmojn."
"gloom","spleno"
"Weaponsmithing Pit","Fosa¼o por Armilforøado"
"Cannot generate random creatures -- missing body detail plan ","Ne povas generi aleatorajn esta¼ojn - nehavante planon pri korpaj detaloj "
"chemistry:laboratory:glass beaker","¶emio:laboratorio:vitro laboratoria vazo"
"Historian","Historiisto"
" present"," nunanteco"
"imprisoner","malliberulo"
"was imprisoned by","estis malliberigita de"
"Only in Finder","Nur en Trovilo"
"a lesser's pretentious ","la þajnigantaj aranøoj de subula "
"I must say that is a truly insightful observation!","Mi devas diri ke tio estas vera saøa observado!"
"Pinch ","Pinæi "
"Meeting","Kunveno"
"Cavern dweller maximum attackers","Maksimuma de kaverneg-loøantoj atakontaj"
"engineer","inøeniero"
"Beheaded","Senkapigis"
"starved to death","malsatmortis"
" engraving"," gravurante"
"cavy","kavio"
"spoken ","parolata "
"slow to tire","malrapida por laciøi"
"engineering:optics:atmospheric refraction","inøenierarto:optiko:atmosfera refrakto"
"Bowman","Pafarkisto"
"tundra","tundro"
"the Parabola","la Parabolo"
"My goals are important to me.","Miaj celoj gravas al mi."
"Empty announcement ","Malplena anoncado "
"I started a fist fight.","Mi komencis pugnan lukton."
"most exalted ","plej ekzalta "
"Inorganics...","Neorganikojn..."
"Star catalogue","Stela katalogo"
"quite durable","tre fortika"
"Tropical Brackish River","Tropika Saleta Rivero"
"I'm anguished.","Mi estas doloregiga."
"more depression-prone","pli deprimiøema"
"flight","flugado"
"You have discovered a magma pool.","Vi eltrovis magmolageton."
"mathematics:geometry:geometric mean theorem","matematiko:geometrio:alto-teoremo"
"screaming","kriante"
"treasurer","kasisto"
"fifty","kvindek"
" turn"," turno"
"A poetry competition","Poezia¼a konkurso"
"indignant","indignan"
"tries to do things correctly each time","provas fari aferojn øuste æiufoje"
"the notion of etymology","la nocio pri la etimologio"
"Acknowledge lack of servility","Agnoski mankon de servileco"
"engraving","gravurado"
"surprised","surprizita"
" masterful"," majstra"
"absolute ","absoluta "
" rolls"," ruliøas"
"facial expressions","vizaøaj esprimoj"
"due to a shared artistic interest","pro komuna belarta intereso"
"Replace first","Anstataýigu la unuan"
"exasperation","frustro"
"What should I do about it?","Kion devus mi faras pri øi?"
"Fruit and vegetable market","Bazaro de fruktoj kaj legumoj"
"romance","enamiøon"
"You have nothing left to wear.","Vi havas nenion restantan por porti."
"a legendary hunter","legenda æasisto"
"strangle","strangolas"
"You do not have a free grasp and your quiver is full.","Vi ne havas liberan manon, kaj via sagujo estas plena."
"There is no sense of wonder.","Ne ekzistas iu sento de mirego."
"heat","Varmigi"
" jump"," saltas"
"jubilant","jubilantan"
"I'm happy to help.","Mi feliæas por helpi."
"medicine:method:surgery suturing","medicino:metodo:¶irurgia suturado"
"addition of masterful cloth","aligo de majstra þtofo"
"Milk ","Melki "
"I feel like a victor.","Mi min sentas kia venkinto."
" equipment"," kunhava¼o"
"amulet","amuleto"
"less intemperant","malpli malmoderema"
"A visitor complained about being prevented from leaving.","Vizitanto plendis pri oni malebliigante al li foriri."
"weaving of a masterful sewn image","teksado de majstran kudrita bildo"
"Wrestle","Lukti"
"incredibly tough","nekredeble malmola"
"generally acts impartially and is rarely moved to mercy","øenerale agas senpartie kaj malofte estas kortuþita al mizerikordo"
"Choose a smaller area if you experience lag.","Elektu mapli grandan areon se vi spertas malfruon."
"Simple strike","Simpla frapo"
"floods","subakviøoj"
"I would be honored to serve as a ","Mi estus honorita servi kiel "
"after eating a good meal","post maøi bonan manøon"
"catapult parts","partoj de katapulto"
"choreography","¶oreografio"
" vigorous"," vigla"
" other major settlements."," alia æefa setlejoj."
"Somebody dead was convicted of a crime.","Iu mortinta estis kondamnita pro krimo."
"No fullscreen resolutions detected.","Neniuj tutekranaj distingivoj detektitaj."
"drunk","ebriulo"
"sand bags","sakoj da sablo"
"Bias","Biaso"
"being unable to wander for too long","tro longe ne povi vagi"
"a very poor dining room","tre malriæa manøoæambro"
"love","amo"
"Damp ","Malseketa "
"Bard","Bardo"
"Chest","Kesto"
"State that you enjoyed performing","Deklari, vi øuis interpreti"
"Who cares?","Kiu zorgas?"
" looks to your thriving economy for its future prosperity."," rigardas vian prosperan ekonomion por sia estonta prospero."
"Maximum ","Maksimuma "
"Command repeat prefix-key","Antaýmeta klavo por ripeti komandon"
" yet it "," tamen øi "
"slayer","buæanto"
"Grab Helm","Preni Kaskon"
"strands","fibroj"
"Varied aquifer","Varia Akvejo"
"  I will settle this my way."," Mi solvos æi tion laý mia maniero."
"Would you like your fortress located in a forested mineral-rich region of this world where you can play through a short tutorial? ","Æu vi þatus, ke via fortreso stiuu en dense arbara kaj mineral-riæa reigiono de æi tiu mondo, kie vi povus ludi per mallonga lernilo? "
"Refraction","Refrakto"
"Rendered Fat","Fandita Graso"
"the Color of Stars","la Koloroj de la Steloj"
"having ","havi "
" broken.  "," rompita. "
